QALD id,match status,QALD question,QueGG question,TP,FP,FN,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
42,0.759493670886076,What is the location of the Houses of Parliament?,"""What is the location of Spain?"" (sparlq query and entity different)",0,1,3,SELECT ?uri WHERE {  <http://dbpedia.org/resource/Palace_of_Westminster> <http://dbpedia.org/ontology/location> ?uri . } ,"select  ?o    

{

    <http://dbpedia.org/resource/Spain> <http://dbpedia.org/ontology/location>  ?o .    

}",0,1,3,0,0,0
53,0,Give me all professional skateboarders from Sweden.,,0,1,2,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	?uri dbo:occupation res:Skateboarding . 
        { ?uri dbo:birthPlace res:Sweden . }
        UNION
        { ?uri dbo:birthPlace ?place . 
          ?place dbo:country res:Sweden . }
}",,0,1,2,0,0,0
55,0,Does Neymar play for Real Madrid?,,0,1,1,ASK WHERE { <http://dbpedia.org/resource/Neymar> <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Real_Madrid_C.F.> . },,0,1,1,0,0,0
58,0.702127659574468,In which UK city are the headquarters of the MI6?,"""in which city did the creators of Cher? live?""",0,1,3,"PREFIX res: <http://dbpedia.org/resource/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE { 
        res:Secret_Intelligence_Service dbo:headquarter ?uri . 
        ?uri dbo:country res:United_Kingdom . 
}","SELECT DISTINCT ?objOfProp WHERE 

{

    ?subjOfProp <http://dbpedia.org/ontology/residence> ?objOfProp .   <http://dbpedia.org/resource/Cher> <http://dbpedia.org/ontology/creator> ?subjOfProp .

}",0,1,3,0,0,0
59,0,Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:Cuban_Missile_Crisis dbo:date ?x .
	res:Bay_of_Pigs_Invasion dbo:date ?y .
	FILTER (?x < ?y)
}",,0,1,1,0,0,0
61,0.746268656716418,When did the Ming dynasty dissolve?,"""How often did Ming dynasty live?""",0,1,1,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?date
WHERE {  
        res:Ming_dynasty dbo:dissolutionDate ?date .
}","select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE    

{

    <http://dbpedia.org/resource/Ming_dynasty> <http://dbpedia.org/ontology/ethnicGroup>  ?objOfProp .    

}",0,1,1,0,0,0
62,0,List all episodes of the first season of the HBO television series The Sopranos!,,0,1,86,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	?uri dbo:series res:The_Sopranos  .
        ?uri dbo:seasonNumber 1 .
}",,0,1,86,0,0,0
69,0,List all episodes of the first season of the HBO television series The Sopranos.,,0,1,86,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
        ?uri dbo:series res:The_Sopranos  .
        ?uri dbo:seasonNumber 1 .
}",,0,1,86,0,0,0
73,0,In which ancient empire could you pay with cocoa beans?,,0,1,1,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/Cocoa_bean> . },,0,1,1,0,0,0
77,0.869565217391304,Which electronics companies were founded in Beijing?,"""which companies were founded in Beijing?""",28,0,0,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Electronics> . ?uri <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/Beijing> . },"select  ?s    

{

   ?s <http://dbpedia.org/ontology/foundationPlace>  <http://dbpedia.org/resource/Beijing> .    

}",28,0,0,1,1,1
79,0,How many Aldi stores are there?,,0,1,1,SELECT DISTINCT ?number WHERE {  <http://dbpedia.org/resource/Aldi> <http://dbpedia.org/ontology/numberOfLocations> ?number . } ,,0,1,1,0,0,0
82,0,Was the wife of president Lincoln called Mary?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
ASK 
WHERE {
        res:Abraham_Lincoln dbo:spouse ?spouse .
        ?spouse rdfs:label ?name .
        FILTER(regex(?name,'Mary')) 
}",,0,1,1,0,0,0
84,0,Which of Tim Burton's films had the highest budget?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
        ?uri dbo:director res:Tim_Burton .
        ?uri dbo:budget ?b .
}
ORDER BY ?b
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
85,0,Does Breaking Bad have more episodes than Game of Thrones?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
ASK 
WHERE { 
        res:Breaking_Bad dbo:numberOfEpisodes ?x . 
        res:Game_of_Thrones dbo:numberOfEpisodes ?y . 
        FILTER (?y > ?x) 
}",,0,1,1,0,0,0
86,0.8,Who was called Rodzilla?,"""Who was called  Bird?""",0,1,1,"PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
         ?uri dbp:nickname ""Rodzilla""@en .
}","select  ?s    

{

   ?s <http://dbpedia.org/property/nickname>  'Bird'@en .    

}",0,1,1,0,0,0
87,0,Was Natalie Portman born in the United States?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE { 
	res:Natalie_Portman dbo:birthPlace ?city .
      	?city dbo:country res:United_States .
}",,0,1,1,0,0,0
90,0.736842105263158,When did Dracula's creator die?,"""When did Bruce Carver die?""",0,1,1,SELECT DISTINCT ?date WHERE {  <http://dbpedia.org/resource/Count_Dracula> <http://dbpedia.org/ontology/creator> ?x .  ?x <http://dbpedia.org/ontology/deathDate> ?date . } ,"select  ?o    

{

    <http://dbpedia.org/resource/Bruce_Carver> <http://dbpedia.org/ontology/deathDate>  ?o .    

}",0,1,1,0,0,0
91,0.869565217391304,Which country does the creator of Miffy come from?,"""What does the creator of Miffy? come from?""",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:Miffy dbo:creator ?x .
	?x dbo:nationality ?uri .
}","SELECT DISTINCT ?subjOfProp WHERE 

{

    ?subjOfProp <http://dbpedia.org/ontology/nationality> ?objOfProp .   <http://dbpedia.org/resource/Miffy> <http://dbpedia.org/ontology/creator> ?objOfProp .

}",0,1,1,0,0,0
95,0,Give me all Canadian Grunge record labels.,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
	?uri rdf:type dbo:RecordLabel .
        ?uri dbo:genre res:Grunge .
        ?uri dbo:country res:Canada .
}",,0,1,1,0,0,0
96,0.790697674418605,How many children did Benjamin Franklin have?,"""show me all children of Benjamin Franklin""",0,3,1,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  <http://dbpedia.org/resource/Benjamin_Franklin> <http://dbpedia.org/ontology/child> ?uri . } ,"select  ?o    

{

    <http://dbpedia.org/resource/Benjamin_Franklin> <http://dbpedia.org/ontology/child>  ?o .    

}",0,3,1,0,0,0
100,0,Are tree frogs a type of amphibian?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
ASK 
WHERE { 
        res:Hylidae dbo:class res:Amphibian . 
}",,0,1,1,0,0,0
102,0.8,List all games by GMT.,"""List all the games by MetaTV"" (too short, similarity mismatch)",0,1,7,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {	
        ?uri dbo:publisher res:GMT_Games .
}","select  ?s    

{

   ?s <http://dbpedia.org/ontology/publisher>  <http://dbpedia.org/resource/MetaTV> .    

}",0,1,7,0,0,0
105,0,Which Indian company has the most employees?,,0,1,1,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/India> . ?uri <http://dbpedia.org/ontology/numberOfEmployees> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,,0,1,1,0,0,0
106,0.745098039215686,What color expresses loyalty?,"""What expresses Wealth?""",0,2,1,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/connotation> <http://dbpedia.org/resource/Loyalty> . },"select  ?s    

{

   ?s <http://dbpedia.org/ontology/connotation>  <http://dbpedia.org/resource/Wealth> .    

}",0,2,1,0,0,0
107,0,Which city has the most inhabitants?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
         ?uri rdf:type dbo:City . 
         ?uri dbo:populationTotal ?pop . 
}
ORDER BY DESC(?pop)
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
110,0,Is the wife of president Obama called Michelle?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
ASK 
WHERE {
        res:Barack_Obama dbo:spouse ?spouse .
        ?spouse rdfs:label ?name .
        FILTER(regex(?name,'Michelle')) 
}",,0,1,1,0,0,0
112,0.953846153846154,Who is the president of Eritrea?,"""What is the president of Eritrea?""",0,1,1,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Eritrea> <http://dbpedia.org/ontology/leader> ?uri . <http://dbpedia.org/resource/Eritrea> <http://dbpedia.org/ontology/leaderTitle> 'President'@en . }  ,"select  ?o    

{

    <http://dbpedia.org/resource/Eritrea> <http://dbpedia.org/ontology/office>  ?o .    

}",0,1,1,0,0,0
114,0.931034482758621,When was the Titanic completed?,"""When was Titanic completed?"" (sparql does not match)",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date
WHERE { 
        res:RMS_Titanic dbo:completionDate ?date . 
}","select  ?o    

{

    <http://dbpedia.org/resource/Titanic> <http://dbpedia.org/ontology/completionDate>  ?o .    

}",0,1,1,0,0,0
115,0.72289156626506,How many pages does War and Peace have?,"""which languages does War and Peace write in?"" (should address the template)",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?n
WHERE {
        res:War_and_Peace dbo:numberOfPages ?n .
}","select  ?o    

{

    <http://dbpedia.org/resource/War_and_Peace> <http://dbpedia.org/ontology/programmingLanguage>  ?o .    

}",0,1,1,0,0,0
117,1,What is the highest mountain in Italy?,"""What is the highest mountain in Italy?""",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
        ?uri rdf:type dbo:Mountain .
        ?uri dbo:locatedInArea res:Italy .
        ?uri dbo:elevation ?num .
}
ORDER BY DESC(?num)
OFFSET 0 LIMIT 1","SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> . ?subjOfProp <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Italy> . ?subjOfProp <http://dbpedia.org/ontology/elevation> ?num . 

} ORDER BY DESC(?num) LIMIT 1",0,1,1,0,0,0
120,0,Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,,0,1,22,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?uri 
WHERE {
        res:Lufthansa dbo:subsidiary ?uri .
        ?uri dbo:targetAirport res:Dortmund_Airport .
        ?uri dbo:targetAirport res:Berlin_Tegel_Airport .
}",,0,1,22,0,0,0
124,0,For which label did Elvis record his first album?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
        ?x rdf:type dbo:Album .
        ?x dbo:artist res:Elvis_Presley .
        ?x dbo:releaseDate ?y .
        ?x dbo:recordLabel ?uri .
}
ORDER BY ASC(?y) 
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
129,0.816901408450704,Who is the king of the Netherlands?,"""Who is the residence of Netherlands?""",0,1,2,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Netherlands> <http://dbpedia.org/ontology/leader> ?uri . ?uri a <http://dbpedia.org/ontology/Royalty> . } ,"select  ?o    

{

    <http://dbpedia.org/resource/Netherlands> <http://dbpedia.org/ontology/residence>  ?o .    

}",0,1,2,0,0,0
132,0,Give me a list of all critically endangered birds.,,0,1,1,SELECT DISTINCT ?uri ?p WHERE { ?uri a <http://dbpedia.org/ontology/Bird> . { ?uri <http://dbpedia.org/ontology/conservationStatus> 'CR'^^<http://www.w3.org/2001/XMLSchema#string> . } UNION { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Critically_endangered_animals> . } },,0,1,1,0,0,0
133,0,How many inhabitants does the largest city in Canada have?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?num
WHERE {
        res:Canada dbo:largestCity ?city . 
        ?city dbo:populationTotal ?num .
}",,0,1,1,0,0,0
135,0.705882352941176,Which book has the most pages?,"""which book was published by GMT Games?""",0,7,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        ?uri rdf:type dbo:Book . 
        ?uri dbo:numberOfPages ?n .
}
ORDER BY DESC(?n)
OFFSET 0 LIMIT 1","select  ?s    

{

   ?s <http://dbpedia.org/ontology/publisher>  <http://dbpedia.org/resource/GMT_Games> .    

}",0,7,1,0,0,0
136,0.942857142857143,In which country does the Nile start?,"""in which country does Nile start?"" (sparql query not match)",0,1,2,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {       
        res:Nile dbo:sourceCountry ?uri .
}","select  ?o    

{

    <http://dbpedia.org/resource/Nile> <http://dbpedia.org/property/mouthLocation>  ?o .    

}",0,1,2,0,0,0
137,0,Who is the Formula 1 race driver with the most races?,,0,1,1,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/FormulaOneRacer> .  ?uri <http://dbpedia.org/ontology/races> ?x . } ORDER BY DESC(?x) OFFSET 0 LIMIT 1 ,,0,1,1,0,0,0
138,0.835820895522388,Which companies produce hovercrafts?,"""which ships produce Hovercraft?""",0,3,1,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Hovercraft> . },"select  ?s    

{

   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Hovercraft> .    

}",0,3,1,0,0,0
140,0.897959183673469,In which city was the president of Montenegro born?,"""in which city did President of Montenegro born?"" ",0,1,5,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/office> <http://dbpedia.org/resource/President_of_Montenegro> . ?x <http://dbpedia.org/ontology/birthPlace> ?uri . ?uri a <http://dbpedia.org/ontology/City> . } ,"select  ?o    

{

    <http://dbpedia.org/resource/President_of_Montenegro> <http://dbpedia.org/ontology/birthPlace>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/City> .    

}",0,1,5,0,0,0
142,0.765432098765432,In which countries do people speak Japanese?,"""in which countries does start Ganges?""",0,1,5,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/ontology/language> <http://dbpedia.org/resource/Japanese_language> . } ,"select  ?o    

{

    <http://dbpedia.org/resource/Ganges> <http://dbpedia.org/property/mouthLocation>  ?o .    

}",0,1,5,0,0,0
143,0,Show me the book that Muhammad Ali wrote.,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri 
WHERE { 
         ?uri rdf:type dbo:Book . 
         ?uri dbo:author res:Muhammad_Ali . 
}",,0,1,1,0,0,0
145,1,What is the area code of Berlin?,"""What is the area code of Berlin?""",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?string 
WHERE {
	res:Berlin dbo:areaCode ?string .
}","select  ?o    

{

    <http://dbpedia.org/resource/Berlin> <http://dbpedia.org/ontology/areaCode>  ?o .    

}",0,1,1,0,0,0
148,0.746268656716418,What was the first Queen album?,"""What was the first season of Batman?""",0,1,1,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Album> . ?uri <http://dbpedia.org/ontology/artist> <http://dbpedia.org/resource/Queen_(band)> . ?uri <http://dbpedia.org/ontology/releaseDate> ?d . } ORDER BY ASC(?d) OFFSET 0 LIMIT 1,"select  ?o    

{

    <http://dbpedia.org/resource/Batman> <http://dbpedia.org/ontology/seasonNumber>  ?o .    

}",0,1,1,0,0,0
151,0,What is the bridge with the longest span?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
        ?uri rdf:type dbo:Bridge .
        ?uri dbo:mainspan ?s . 
} 
ORDER BY DESC(?s) 
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
157,0,Was U.S. president Jackson involved in a war?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	res:Andrew_Jackson dbo:battle ?battle .    
}",,0,1,1,0,0,0
165,0.863636363636364,Who was the 16th president of the United States?,"""What was the president of United States?""",0,1,2,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
         ?uri dbo:office 'President of the United States' .
         ?uri dbo:orderInOffice '16th' .
}","select  ?o    

{

    <http://dbpedia.org/resource/United_States> <http://dbpedia.org/ontology/office>  ?o .    

}",0,1,2,0,0,0
177,0.776119402985075,Give me all Swedish oceanographers.,"""Give me all sons of Oceanography""",0,1,42,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
        ?uri dbo:field res:Oceanography . 
        ?uri dbo:birthPlace res:Sweden .        
}","select  ?o    

{

    <http://dbpedia.org/resource/Oceanography> <http://dbpedia.org/ontology/child>  ?o .    

}",0,1,42,0,0,0
178,0,Show me Hemingway's autobiography.,,0,1,21,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Ernest_Hemingway> . ?uri <http://dbpedia.org/ontology/literaryGenre> <http://dbpedia.org/resource/Autobiography> . },,0,1,21,0,0,0
182,0.707692307692308,Which city has the least inhabitants?,"""which city was Cher live in?""",0,1,1,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> .  ?uri <http://dbpedia.org/ontology/populationTotal> ?pop . } ORDER BY ASC(?pop) OFFSET 0 LIMIT 1 ,"select  ?o    

{

    <http://dbpedia.org/resource/Cher> <http://dbpedia.org/ontology/residence>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/City> .    

}",0,1,1,0,0,0
183,0,Is proinsulin a protein?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
ASK 
WHERE {
	res:Proinsulin rdf:type dbo:Protein .
}",,0,1,1,0,0,0
186,0,Is Lake Baikal bigger than the Great Bear Lake?,,0,1,1,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
ASK
WHERE {  
        res:Lake_Baikal dbo:areaTotal ?a1 . 
        res:Great_Bear_Lake dbo:areaTotal ?a2 .
        FILTER (?a1 > ?a2)
}",,0,1,1,0,0,0
187,0,Did Kaurismäki ever win the Grand Prix at Cannes?,,0,1,1,ASK WHERE { <http://dbpedia.org/resource/Aki_Kaurismäki> <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Grand_Prix_(Cannes_Film_Festival)> . },,0,1,1,0,0,0
193,0,To which artistic movement did the painter of The Three Dancers belong?,,0,1,2,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/The_Three_Dancers> <http://dbpedia.org/ontology/author> ?person .  ?person <http://dbpedia.org/ontology/movement> ?uri . } ,,0,1,2,0,0,0
196,0,Give me all cities in New Jersey with more than 100000 inhabitants.,,0,1,8,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
	?uri rdf:type dbo:City .
        ?uri dbo:isPartOf res:New_Jersey .
        ?uri dbp:populationTotal ?inhabitants .
        FILTER (?inhabitants > 100000) .
}",,0,1,8,0,0,0
197,0,Which museum in New York has the most visitors?,,0,1,1,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Museum> .  ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/New_York_City> .  ?uri <http://dbpedia.org/ontology/numberOfVisitors> ?num . } ORDER BY DESC(?num) OFFSET 0 LIMIT 1 ,,0,1,1,0,0,0
