"lemon","partOfSpeech","writtenFormInfinitive/2ndPerson","writtenForm3rdPerson","writtenFormPast","writtenFormPerfect","SyntacticFrame","subject","directObject","sense","reference","domain","range","passivePreposition","value","filename","gram"
"lexicalEntry-1866","verb","wrestling","wrestling","wrestling","wrestling","TransitiveFrame","range","domain","1","dbo:date","dbo:Event","xsd:date","by","0.912639378007077","dbo:date","1-gram"
"lexicalEntry-2036","verb","developed","developed","developed","developed","TransitiveFrame","range","domain","1","dbo:developer","dbo:VideoGame","dbo:Agent","by","0.404854384023277","dbo:developer","onegram"
"lexicalEntry-2039","verb","developed","developed","developed","developed","TransitiveFrame","range","domain","1","dbo:developer","dbo:VideoGame","dbo:Agent","by","0.705847019024764","dbo:developer","1-gram"
"lexicalEntry-2043","verb","developed by","developed by","developed by","developed by","TransitiveFrame","range","domain","1","dbo:developer","dbo:VideoGame","dbo:Agent","by","0.618357837871357","dbo:developer","2-gram"
"lexicalEntry-2076","verb","directed","directed","directed","directed","TransitiveFrame","range","domain","1","dbo:director","dbo:Film","dbo:Person","by","0.475451954197172","dbo:director","onegram"
"lexicalEntry-2077","verb","directed by","directed by","directed by","directed by","TransitiveFrame","range","domain","1","dbo:director","dbo:Film","dbo:Person","by","0.47342551149902","dbo:director","twogram"
"lexicalEntry-2083","verb","directed","directed","directed","directed","TransitiveFrame","range","domain","1","dbo:director","dbo:Film","dbo:Person","by","0.863846870688512","dbo:director","1-gram"
"lexicalEntry-2084","verb","directed by","directed by","directed by","directed by","TransitiveFrame","range","domain","1","dbo:director","dbo:Film","dbo:Person","by","0.846449614091409","dbo:director","2-gram"
"lexicalEntry-2090","verb","directed","directed","directed","directed","TransitiveFrame","range","domain","1","dbo:director","dbo:Film","dbo:Person","by","0.710174503968536","dbo:director","1-gram"
"lexicalEntry-2248","verb","carries","carries","carries","carries","TransitiveFrame","range","domain","1","dbo:crosses","dbo:Bridge","dbo:River","by","0.47354341595496","dbo:crosses","1-gram"
"lexicalEntry-2791","verb","licensed to","licensed to","licensed to","licensed to","TransitiveFrame","range","domain","1","dbo:firstAirDate","dbo:TelevisionSeason","xsd:date","by","0.798396769529098","dbo:firstAirDate","2-gram"
"lexicalEntry-3265","verb","based","based","based","based","TransitiveFrame","range","domain","1","dbo:ground","dbo:SportsClub","dbo:Stadium","by","0.422636792331356","dbo:ground","onegram"
"lexicalEntry-3266","verb","based in","based in","based in","based in","TransitiveFrame","range","domain","1","dbo:ground","dbo:SportsClub","dbo:Stadium","by","0.419787334709348","dbo:ground","twogram"
"lexicalEntry-3271","verb","based","based","based","based","TransitiveFrame","range","domain","1","dbo:ground","dbo:SportsClub","dbo:Stadium","by","0.716969844569617","dbo:ground","1-gram"
"lexicalEntry-3272","verb","based in","based in","based in","based in","TransitiveFrame","range","domain","1","dbo:ground","dbo:SportsClub","dbo:Stadium","by","0.708281155588936","dbo:ground","2-gram"
"lexicalEntry-3322","verb","based","based","based","based","TransitiveFrame","range","domain","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","by","0.516116975895802","dbo:headquarter","onegram"
"lexicalEntry-3324","verb","based in","based in","based in","based in","TransitiveFrame","range","domain","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","by","0.489353907243402","dbo:headquarter","twogram"
"lexicalEntry-3334","verb","based","based","based","based","TransitiveFrame","range","domain","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","by","0.708258834474506","dbo:headquarter","1-gram"
"lexicalEntry-3339","verb","based in","based in","based in","based in","TransitiveFrame","range","domain","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","by","0.632770096855792","dbo:headquarter","2-gram"
"lexicalEntry-3469","verb","counted in","counted in","counted in","counted in","TransitiveFrame","range","domain","1","dbo:governmentType","dbo:Town","owl:Thing","by","0.629920629920945","dbo:governmentType","3-gram"
"lexicalEntry-3476","verb","reflecting","reflecting","reflecting","reflecting","TransitiveFrame","range","domain","1","dbo:governmentType","dbo:Town","owl:Thing","by","0.624825178802072","dbo:governmentType","1-gram"
"lexicalEntry-3849","verb","made","made","made","made","TransitiveFrame","range","domain","1","dbo:ingredient","dbo:Food","owl:Thing","by","0.626984823843815","dbo:ingredient","1-gram"
"lexicalEntry-3852","verb","served","served","served","served","TransitiveFrame","range","domain","1","dbo:ingredient","dbo:Food","owl:Thing","by","0.44106175522644","dbo:ingredient","1-gram"
"lexicalEntry-4096","verb","succeeded as","succeeded as","succeeded as","succeeded as","TransitiveFrame","range","domain","1","dbo:language","dbo:Language","dbo:Country","by","0.426637993857136","dbo:language","threegram"
"lexicalEntry-4097","verb","succeeded as","succeeded as","succeeded as","succeeded as","TransitiveFrame","range","domain","1","dbo:language","dbo:Language","dbo:Country","by","0.418760922629923","dbo:language","exact_string"
"lexicalEntry-4153","verb","elected","elected","elected","elected","TransitiveFrame","range","domain","1","dbo:lastElectionDate","dbo:Organisation","xsd:date","by","0.553072649606086","dbo:lastElectionDate","1-gram"
"lexicalEntry-4262","verb","elected","elected","elected","elected","TransitiveFrame","range","domain","1","dbo:leader","dbo:Legislature/dbo:Place","dbo:Person","by","0.509299945022024","dbo:leader","1-gram"
"lexicalEntry-4285","verb","based","based","based","based","TransitiveFrame","range","domain","1","dbo:league","dbo:HockeyTeam","dbo:IceHockeyLeague","by","0.759732471316426","dbo:league","1-gram"
"lexicalEntry-4286","verb","based in","based in","based in","based in","TransitiveFrame","range","domain","1","dbo:league","dbo:HockeyTeam","dbo:IceHockeyLeague","by","0.7565003545994","dbo:league","2-gram"
"lexicalEntry-4427","verb","held","held","held","held","TransitiveFrame","range","domain","1","dbo:location","dbo:Building","dbo:City","by","0.59692079289441","dbo:location","onegram"
"lexicalEntry-4430","verb","held","held","held","held","TransitiveFrame","range","domain","1","dbo:location","dbo:Building","dbo:City","by","0.984092720028434","dbo:location","1-gram"
"lexicalEntry-4431","verb","wrestling","wrestling","wrestling","wrestling","TransitiveFrame","range","domain","1","dbo:location","dbo:Building","dbo:City","by","0.981147896972096","dbo:location","1-gram"
"lexicalEntry-4695","verb","created","created","created","created","TransitiveFrame","range","domain","1","dbo:knownFor","dbo:Award","dbo:Person","by","0.534522483824849","dbo:knownFor","1-gram"
"lexicalEntry-4922","verb","directed","directed","directed","directed","TransitiveFrame","range","domain","1","dbo:musicComposer","dbo:Film","dbo:Person","by","0.682684598859724","dbo:musicComposer","1-gram"
"lexicalEntry-4923","verb","directed by","directed by","directed by","directed by","TransitiveFrame","range","domain","1","dbo:musicComposer","dbo:Film","dbo:Person","by","0.666598470174319","dbo:musicComposer","2-gram"
"lexicalEntry-5265","verb","aired","aired","aired","aired","TransitiveFrame","range","domain","1","dbo:numberOfSeasons","dbo:TelevisionShow","xsd:nonNegativeInteger","by","0.462700967678792","dbo:numberOfSeasons","1-gram"
"lexicalEntry-5382","verb","served","served","served","served","TransitiveFrame","range","domain","1","dbo:office","dbo:Country","xsd:string","by","0.598090233620325","dbo:office","1-gram"
"lexicalEntry-5458","verb","Launch","Launch","Launch","Launch","TransitiveFrame","range","domain","1","dbo:operator","dbo:LaunchPad","dbo:Organisation","by","0.845597694529087","dbo:operator","1-gram"
"lexicalEntry-6139","verb","presented","presented","presented","presented","TransitiveFrame","range","domain","1","dbo:presenter","dbo:TelevisionShow","dbo:Person","by","0.526127878211133","dbo:presenter","1-gram"
"lexicalEntry-6141","verb","hosted","hosted","hosted","hosted","TransitiveFrame","range","domain","1","dbo:presenter","dbo:TelevisionShow","dbo:Person","by","0.488185419777123","dbo:presenter","1-gram"
"lexicalEntry-6143","verb","hosted by","hosted by","hosted by","hosted by","TransitiveFrame","range","domain","1","dbo:presenter","dbo:TelevisionShow","dbo:Person","by","0.474305137151699","dbo:presenter","2-gram"
"lexicalEntry-6546","verb","developed","developed","developed","developed","TransitiveFrame","range","domain","1","dbo:releaseDate","dbo:Software","xsd:date","by","0.721796146064436","dbo:releaseDate","1-gram"
"lexicalEntry-7287","verb","married","married","married","married","TransitiveFrame","range","domain","1","dbo:spouse","dbo:Person","dbo:Person","by","0.615457454896664","dbo:spouse","onegram"
"lexicalEntry-7288","verb","married to","married to","married to","married to","TransitiveFrame","range","domain","1","dbo:spouse","dbo:Person","dbo:Person","by","0.539359889970594","dbo:spouse","twogram"
"lexicalEntry-7289","verb","married to","married to","married to","married to","TransitiveFrame","range","domain","1","dbo:spouse","dbo:Person","dbo:Person","by","0.452267016866645","dbo:spouse","threegram"
"lexicalEntry-7290","verb","married","married","married","married","TransitiveFrame","range","domain","1","dbo:spouse","dbo:Person","dbo:Person","by","0.543557306504609","dbo:spouse","1-gram"
"lexicalEntry-7291","verb","married to","married to","married to","married to","TransitiveFrame","range","domain","1","dbo:spouse","dbo:Person","dbo:Person","by","0.512822594068371","dbo:spouse","2-gram"
"lexicalEntry-7292","verb","married to","married to","married to","married to","TransitiveFrame","range","domain","1","dbo:spouse","dbo:Person","dbo:Person","by","0.449977042573257","dbo:spouse","3-gram"
"lexicalEntry-7324","verb","directed","directed","directed","directed","TransitiveFrame","range","domain","1","dbo:starring","dbo:Film","dbo:Person","by","0.855574022520983","dbo:starring","1-gram"
"lexicalEntry-7325","verb","directed by","directed by","directed by","directed by","TransitiveFrame","range","domain","1","dbo:starring","dbo:Film","dbo:Person","by","0.836773666202498","dbo:starring","2-gram"
"lexicalEntry-7530","verb","based","based","based","based","TransitiveFrame","range","domain","1","dbo:targetAirport","dbo:Airline","dbo:Airport","by","0.41018903233816","dbo:targetAirport","1-gram"
"lexicalEntry-8132","verb","directed","directed","directed","directed","TransitiveFrame","range","domain","1","dbo:writer","dbo:Song","dbo:Person","by","0.774990126251863","dbo:writer","1-gram"
"lexicalEntry-8137","verb","directed by","directed by","directed by","directed by","TransitiveFrame","range","domain","1","dbo:writer","dbo:Song","dbo:Person","by","0.756897736209389","dbo:writer","2-gram"
"lexicalEntry-22405","verb","held","held","held","held","TransitiveFrame","range","domain","1","dbp:date","dbo:MilitaryConflict","xsd:date","by","0.51671768610994","dbp:date","onegram"
"lexicalEntry-22412","verb","held","held","held","held","TransitiveFrame","range","domain","1","dbp:date","dbo:MilitaryConflict","xsd:date","by","0.942784437869056","dbp:date","1-gram"
"lexicalEntry-22414","verb","wrestling","wrestling","wrestling","wrestling","TransitiveFrame","range","domain","1","dbp:date","dbo:MilitaryConflict","xsd:date","by","0.932666524379245","dbp:date","1-gram"
"lexicalEntry-40839","verb","held","held","held","held","TransitiveFrame","range","domain","1","dbp:location","dbo:ArchitecturalStructure","dbo:Location","by","0.985433973579359","dbp:location","1-gram"
