"lemon","partOfSpeech","writtenFormInfinitive/2ndPerson","writtenForm3rdPerson","writtenFormPast","writtenFormPerfect","SyntacticFrame","subject","directObject","sense","reference","domain","range","passivePreposition","value","filename","gram"
"lexicalEntry-804","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthYear","dbo:Person","xsd:date","0.689499699829937","dbo:birthYear","onegram",
"lexicalEntry-805","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthYear","dbo:Person","xsd:date","0.661437827766148","dbo:birthYear","onegram",
"lexicalEntry-806","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthYear","dbo:Person","xsd:date","0.582265172258824","dbo:birthYear","onegram",
"lexicalEntry-808","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthYear","dbo:Person","xsd:date","0.537231687616118","dbo:birthYear","onegram",
"lexicalEntry-809","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthYear","dbo:Person","xsd:date","0.527909579937856","dbo:birthYear","onegram",
"lexicalEntry-810","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthYear","dbo:Person","xsd:date","0.513707534492026","dbo:birthYear","onegram",
"lexicalEntry-812","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthYear","dbo:Person","xsd:date","0.475190963311491","dbo:birthYear","onegram",
"lexicalEntry-813","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthYear","dbo:Person","xsd:date","0.468521285665818","dbo:birthYear","onegram",
"lexicalEntry-816","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthYear","dbo:Person","xsd:date","0.817095939666777","dbo:birthYear","1-gram",
"lexicalEntry-819","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:birthYear","dbo:Person","xsd:date","0.689251037361542","dbo:birthYear","1-gram",
"lexicalEntry-937","verb","played","played","played","played","InTransitivePPFrame","domain","range","1","dbo:budget","dbo:Film","xsd:double","0.742512514417817","dbo:budget","1-gram",
"lexicalEntry-939","verb","played on","played on","played on","played on","InTransitivePPFrame","domain","range","1","dbo:budget","dbo:Film","xsd:double","0.740265503330204","dbo:budget","2-gram",
"lexicalEntry-1274","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:citizenship","dbo:Person","dbo:Country","0.412759458244594","dbo:citizenship","onegram",
"lexicalEntry-1539","verb","produced","produced","produced","produced","InTransitivePPFrame","domain","range","1","dbo:completionDate","dbo:Ship","xsd:date","0.41198961338671","dbo:completionDate","1-gram",
"lexicalEntry-1639","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:country","dbo:City","dbo:Country","0.747545001596402","dbo:country","onegram",
"lexicalEntry-1640","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:country","dbo:City","dbo:Country","0.733799385705343","dbo:country","onegram",
"lexicalEntry-1641","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:country","dbo:City","dbo:Country","0.715157592198663","dbo:country","onegram",
"lexicalEntry-1740","verb","published","published","published","published","InTransitivePPFrame","domain","range","1","dbo:creator","dbo:TelevisionShow","dbo:Agent","0.807400948100229","dbo:creator","1-gram",
"lexicalEntry-1741","verb","published by","published by","published by","published by","InTransitivePPFrame","domain","range","1","dbo:creator","dbo:TelevisionShow","dbo:Agent","0.794997013722818","dbo:creator","2-gram",
"lexicalEntry-1744","verb","appearing","appearing","appearing","appearing","InTransitivePPFrame","domain","range","1","dbo:creator","dbo:TelevisionShow","dbo:Agent","0.747469747426737","dbo:creator","1-gram",
"lexicalEntry-1870","verb","produced","produced","produced","produced","InTransitivePPFrame","domain","range","1","dbo:date","dbo:Event","xsd:date","0.89385983031065","dbo:date","1-gram",
"lexicalEntry-1899","verb","died","died","died","died","InTransitivePPFrame","domain","range","1","dbo:deathDate","dbo:Person","xsd:date","0.788810637746616","dbo:deathDate","1-gram",
"lexicalEntry-1907","verb","died","died","died","died","InTransitivePPFrame","domain","range","1","dbo:deathPlace","dbo:Politician","dbo:City","0.52522573143889","dbo:deathPlace","onegram",
"lexicalEntry-1912","verb","died in","died in","died in","died in","InTransitivePPFrame","domain","range","1","dbo:deathPlace","dbo:Politician","dbo:City","0.501426536422407","dbo:deathPlace","twogram",
"lexicalEntry-1913","verb","played for","played for","played for","played for","InTransitivePPFrame","domain","range","1","dbo:deathPlace","dbo:Politician","dbo:City","0.5","dbo:deathPlace","twogram",
"lexicalEntry-1914","verb","died in","died in","died in","died in","InTransitivePPFrame","domain","range","1","dbo:deathPlace","dbo:Politician","dbo:City","0.491303684440517","dbo:deathPlace","twogram",
"lexicalEntry-2014","verb","published","published","published","published","InTransitivePPFrame","domain","range","1","dbo:designer","dbo:Building","dbo:Person","0.606377728612255","dbo:designer","1-gram",
"lexicalEntry-2038","verb","released","released","released","released","InTransitivePPFrame","domain","range","1","dbo:developer","dbo:VideoGame","dbo:Agent","0.718934517660646","dbo:developer","1-gram",
"lexicalEntry-2042","verb","published","published","published","published","InTransitivePPFrame","domain","range","1","dbo:developer","dbo:VideoGame","dbo:Agent","0.63723654908352","dbo:developer","1-gram",
"lexicalEntry-2044","verb","published by","published by","published by","published by","InTransitivePPFrame","domain","range","1","dbo:developer","dbo:VideoGame","dbo:Agent","0.611598881027824","dbo:developer","2-gram",
"lexicalEntry-2045","verb","published","published","published","published","InTransitivePPFrame","domain","range","1","dbo:developer","dbo:VideoGame","dbo:Agent","0.574978651565768","dbo:developer","2-gram",
"lexicalEntry-2047","verb","published by","published by","published by","published by","InTransitivePPFrame","domain","range","1","dbo:developer","dbo:VideoGame","dbo:Agent","0.564566464518822","dbo:developer","3-gram",
"lexicalEntry-2128","verb","discovered","discovered","discovered","discovered","InTransitivePPFrame","domain","range","1","dbo:discoverer","dbo:Planet","dbo:Person","0.457826025552997","dbo:discoverer","onegram",
"lexicalEntry-2129","verb","discovered","discovered","discovered","discovered","InTransitivePPFrame","domain","range","1","dbo:discoverer","dbo:Planet","dbo:Person","0.453166097371422","dbo:discoverer","twogram",
"lexicalEntry-2131","verb","discovered","discovered","discovered","discovered","InTransitivePPFrame","domain","range","1","dbo:discoverer","dbo:Planet","dbo:Person","0.864217541099733","dbo:discoverer","1-gram",
"lexicalEntry-2132","verb","discovered","discovered","discovered","discovered","InTransitivePPFrame","domain","range","1","dbo:discoverer","dbo:Planet","dbo:Person","0.849071070247731","dbo:discoverer","2-gram",
"lexicalEntry-2136","verb","It discovered","It discovered","It discovered","It discovered","InTransitivePPFrame","domain","range","1","dbo:discoverer","dbo:Planet","dbo:Person","0.789134686711239","dbo:discoverer","3-gram",
"lexicalEntry-2137","verb","named","named","named","named","InTransitivePPFrame","domain","range","1","dbo:discoverer","dbo:Planet","dbo:Person","0.776908628746555","dbo:discoverer","1-gram",
"lexicalEntry-2249","verb","built","built","built","built","InTransitivePPFrame","domain","range","1","dbo:crosses","dbo:Bridge","dbo:River","0.471091594741354","dbo:crosses","1-gram",
"lexicalEntry-2479","verb","published","published","published","published","InTransitivePPFrame","domain","range","1","dbo:editor","dbo:Work","dbo:Person","0.457058031528673","dbo:editor","1-gram",
"lexicalEntry-2481","verb","published by","published by","published by","published by","InTransitivePPFrame","domain","range","1","dbo:editor","dbo:Work","dbo:Person","0.406681302559548","dbo:editor","2-gram",
"lexicalEntry-3032","verb","founded","founded","founded","founded","InTransitivePPFrame","domain","range","1","dbo:foundedBy","dbo:Agent","dbo:Pope","0.51612548683516","dbo:foundedBy","1-gram",
"lexicalEntry-3336","verb","published","published","published","published","InTransitivePPFrame","domain","range","1","dbo:headquarter","dbo:Organisation","dbo:PopulatedPlace","0.65677243896333","dbo:headquarter","1-gram",
"lexicalEntry-3345","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:height","dbo:BasketballPlayer","xsd:double","0.930104166450907","dbo:height","1-gram",
"lexicalEntry-3346","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:height","dbo:BasketballPlayer","xsd:double","0.925990618830379","dbo:height","1-gram",
"lexicalEntry-3926","verb","published","published","published","published","InTransitivePPFrame","domain","range","1","dbo:isbn","dbo:Book","xsd:string","0.544375722152233","dbo:isbn","1-gram",
"lexicalEntry-3928","verb","written","written","written","written","InTransitivePPFrame","domain","range","1","dbo:isbn","dbo:Book","xsd:string","0.421941705393279","dbo:isbn","1-gram",
"lexicalEntry-3929","verb","published in","published in","published in","published in","InTransitivePPFrame","domain","range","1","dbo:isbn","dbo:Book","xsd:string","0.416741030495636","dbo:isbn","2-gram",
"lexicalEntry-4103","verb","performed","performed","performed","performed","InTransitivePPFrame","domain","range","1","dbo:language","dbo:Language","dbo:Country","0.890130855342811","dbo:language","1-gram",
"lexicalEntry-4106","verb","performed in","performed in","performed in","performed in","InTransitivePPFrame","domain","range","1","dbo:language","dbo:Language","dbo:Country","0.873598684693551","dbo:language","2-gram",
"lexicalEntry-4931","verb","produced","produced","produced","produced","InTransitivePPFrame","domain","range","1","dbo:musicComposer","dbo:Film","dbo:Person","0.480644995215278","dbo:musicComposer","1-gram",
"lexicalEntry-4975","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:nationality","dbo:Person","dbo:Country","0.777643703587787","dbo:nationality","onegram",
"lexicalEntry-4976","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:nationality","dbo:Person","dbo:Country","0.739369100427294","dbo:nationality","onegram",
"lexicalEntry-4977","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:nationality","dbo:Person","dbo:Country","0.734924287358286","dbo:nationality","onegram",
"lexicalEntry-4980","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:nationality","dbo:Person","dbo:Country","0.726774531414107","dbo:nationality","onegram",
"lexicalEntry-4994","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:nationality","dbo:Person","dbo:Country","0.871126519916465","dbo:nationality","1-gram",
"lexicalEntry-5237","verb","published","published","published","published","InTransitivePPFrame","domain","range","1","dbo:numberOfPages","dbo:WrittenWork","xsd:positiveInteger","0.588409489828071","dbo:numberOfPages","1-gram",
"lexicalEntry-5386","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:office","dbo:Country","xsd:string","0.571998405262237","dbo:office","1-gram",
"lexicalEntry-5708","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:party","dbo:Person","dbo:PoliticalParty","0.83161008387391","dbo:party","1-gram",
"lexicalEntry-6215","verb","released","released","released","released","InTransitivePPFrame","domain","range","1","dbo:producer","dbo:Film","dbo:Company","0.710758544878464","dbo:producer","1-gram",
"lexicalEntry-6346","verb","published","published","published","published","InTransitivePPFrame","domain","range","1","dbo:publisher","dbo:VideoGame","dbo:Company","0.536119009311013","dbo:publisher","onegram",
"lexicalEntry-6347","verb","published by","published by","published by","published by","InTransitivePPFrame","domain","range","1","dbo:publisher","dbo:VideoGame","dbo:Company","0.511030620889844","dbo:publisher","twogram",
"lexicalEntry-6348","verb","published","published","published","published","InTransitivePPFrame","domain","range","1","dbo:publisher","dbo:VideoGame","dbo:Company","0.482089137268822","dbo:publisher","twogram",
"lexicalEntry-6349","verb","published by","published by","published by","published by","InTransitivePPFrame","domain","range","1","dbo:publisher","dbo:VideoGame","dbo:Company","0.461835160460568","dbo:publisher","threegram",
"lexicalEntry-6350","verb","published","published","published","published","InTransitivePPFrame","domain","range","1","dbo:publisher","dbo:VideoGame","dbo:Company","0.42068176678048","dbo:publisher","onegram",
"lexicalEntry-6351","verb","published by","published by","published by","published by","InTransitivePPFrame","domain","range","1","dbo:publisher","dbo:VideoGame","dbo:Company","0.405414934757779","dbo:publisher","twogram",
"lexicalEntry-6357","verb","published","published","published","published","InTransitivePPFrame","domain","range","1","dbo:publisher","dbo:VideoGame","dbo:Company","0.878870071721995","dbo:publisher","1-gram",
"lexicalEntry-6359","verb","published","published","published","published","InTransitivePPFrame","domain","range","1","dbo:publisher","dbo:VideoGame","dbo:Company","0.85396785686338","dbo:publisher","1-gram",
"lexicalEntry-6537","verb","released","released","released","released","InTransitivePPFrame","domain","range","1","dbo:releaseDate","dbo:Software","xsd:date","0.518546237772855","dbo:releaseDate","onegram",
"lexicalEntry-6538","verb","released","released","released","released","InTransitivePPFrame","domain","range","1","dbo:releaseDate","dbo:Software","xsd:date","0.504261649442026","dbo:releaseDate","twogram",
"lexicalEntry-6539","verb","released","released","released","released","InTransitivePPFrame","domain","range","1","dbo:releaseDate","dbo:Software","xsd:date","0.404334250678467","dbo:releaseDate","onegram",
"lexicalEntry-6543","verb","released","released","released","released","InTransitivePPFrame","domain","range","1","dbo:releaseDate","dbo:Software","xsd:date","0.761152914303523","dbo:releaseDate","1-gram",
"lexicalEntry-6547","verb","released","released","released","released","InTransitivePPFrame","domain","range","1","dbo:releaseDate","dbo:Software","xsd:date","0.710815827953935","dbo:releaseDate","1-gram",
"lexicalEntry-6580","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:residence","dbo:Single","dbo:City","0.49947997905847","dbo:residence","onegram",
"lexicalEntry-6582","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:residence","dbo:Single","dbo:City","0.411320179459033","dbo:residence","onegram",
"lexicalEntry-6595","verb","ranking","ranking","ranking","ranking","InTransitivePPFrame","domain","range","1","dbo:residence","dbo:Single","dbo:City","0.802262772648235","dbo:residence","1-gram",
"lexicalEntry-7296","verb","portrayed","portrayed","portrayed","portrayed","InTransitivePPFrame","domain","range","1","dbo:spouse","dbo:Person","dbo:Person","0.417551093601346","dbo:spouse","1-gram",
"lexicalEntry-7332","verb","starring","starring","starring","starring","InTransitivePPFrame","domain","range","1","dbo:starring","dbo:Film","dbo:Person","0.576993851115008","dbo:starring","1-gram",
"lexicalEntry-7478","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbo:successor","dbo:Politician","dbo:Person","0.892413309600162","dbo:successor","1-gram",
"lexicalEntry-8113","verb","grown","grown","grown","grown","InTransitivePPFrame","domain","range","1","dbo:wineRegion","dbo:Grape","dbo:Place","0.579287385021587","dbo:wineRegion","1-gram",
"lexicalEntry-8138","verb","released","released","released","released","InTransitivePPFrame","domain","range","1","dbo:writer","dbo:Song","dbo:Person","0.752929612505669","dbo:writer","1-gram",
"lexicalEntry-11424","verb","performed","performed","performed","performed","InTransitivePPFrame","domain","range","1","dbp:artist","dbo:Work","dbo:Person","0.926900578482184","dbp:artist","1-gram",
"lexicalEntry-21098","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbp:country","dbo:River","dbo:Country","0.659001971671679","dbp:country","onegram",
"lexicalEntry-21101","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbp:country","dbo:River","dbo:Country","0.575982678790853","dbp:country","onegram",
"lexicalEntry-22421","verb","produced","produced","produced","produced","InTransitivePPFrame","domain","range","1","dbp:date","dbo:MilitaryConflict","xsd:date","0.916875526900111","dbp:date","1-gram",
"lexicalEntry-44013","verb","It flows","It flows","It flows","It flows","InTransitivePPFrame","domain","range","1","dbp:mouthLocation","dbo:River","dbo:Country","0.416020607748818","dbp:mouthLocation","2-gram",
"lexicalEntry-45606","verb","born","born","born","born","InTransitivePPFrame","domain","range","1","dbp:nickname","dbo:Person","xsd:String","0.868297960940602","dbp:nickname","1-gram",
