"QALD id","match status","QALD question","QueGG question","QALD SPARQL query","QueGG SPARQL query"
"10","0.75","Who was married to president Chirac?","""Who was Jacques Chirac married to?""","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uriWHERE {          res:Jacques_Chirac dbo:spouse ?uri .}","""select  ?s    {   ?s <http://dbpedia.org/ontology/spouse>  <http://dbpedia.org/resource/Jacques_Chirac> .    }"""
"11","1.0","What did Bruce Carver die from?","""What did Bruce Carver die from?""","PREFIX res: <http://dbpedia.org/resource/>PREFIX dbo: <http://dbpedia.org/ontology/>SELECT DISTINCT ?uriWHERE {        res:Bruce_Carver dbo:deathCause ?uri .     }","""select  ?o    {    <http://dbpedia.org/resource/Bruce_Carver> <http://dbpedia.org/ontology/deathCause>  ?o .    }"""
"12","1.0","Who painted The Storm on the Sea of Galilee?","""Who painted The Storm on the Sea of Galilee?""","PREFIX dbp: <http://dbpedia.org/property/>PREFIX res: <http://dbpedia.org/resource/>SELECT DISTINCT ?uri WHERE {	res:The_Storm_on_the_Sea_of_Galilee dbp:artist ?uri .}","""select  ?o    {    <http://dbpedia.org/resource/The_Storm_on_the_Sea_of_Galilee> <http://dbpedia.org/property/artist>  ?o .    }"""
"13","0.875","Which cities does the Weser flow through?","""through which cities does flow Weser?""","SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?uri . } ","""select  ?o    {    <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city>  ?o .    }"""
"14","0.0","How many seats does the home stadium of FC Porto have?",,"SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?x . ?x <http://dbpedia.org/ontology/seatingCapacity> ?n . } ",
"15","0.6153846153846154","Who is the daughter of Robert Kennedy married to?","""Who is the daughter of  Robert F. Kennedy?""","SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?child .  ?child <http://dbpedia.org/ontology/spouse> ?uri . } ","""select  ?o    {    <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child>  ?o .    }"""
"16","0.8888888888888888","Which books by Kerouac were published by Viking Press?","""which books were published by Viking Press?""","SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> .  ?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> .  ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . } ","""select  ?s    {   ?s <http://dbpedia.org/ontology/publisher>  <http://dbpedia.org/resource/Viking_Press> .    }"""
"17","1.0","How tall is Amazon Eve?","""How tall is Amazon Eve?""","SELECT DISTINCT ?height WHERE {  <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height> ?height . } ","""select  ?o    {    <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height>  ?o .    }"""
"18","0.75","Which museum exhibits The Scream by Munch?","""which museum exhibits The Scream?""","PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>SELECT DISTINCT ?uriWHERE {       res:The_Scream dbo:museum ?uri .}","""select  ?o    {    <http://dbpedia.org/resource/The_Scream> <http://dbpedia.org/ontology/museum>  ?o .    }"""
"19","0.0","Who wrote the book Les Piliers de la terre?",,"PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>SELECT DISTINCT ?uri WHERE {	res:The_Pillars_of_the_Earth dbo:author ?uri .}",
"20","0.6666666666666666","Is James Bond married?","""Who married James Bond?""","PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>ASK WHERE {        res:James_Bond dbo:spouse ?uri . }","""select  ?o    {    <http://dbpedia.org/resource/James_Bond> <http://dbpedia.org/ontology/spouse>  ?o .    }"""
"21","1.0","Who discovered Ceres?","""Who discovered Ceres?""","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer> ?uri . }","""select  ?o    {    <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer>  ?o .    }"""
"22","0.875","Which river does the Brooklyn Bridge cross?","""which river does Brooklyn Bridge cross?""","PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>SELECT DISTINCT ?uriWHERE {               res:Brooklyn_Bridge dbo:crosses ?uri . }","""select  ?o    {    <http://dbpedia.org/resource/Brooklyn_Bridge> <http://dbpedia.org/ontology/crosses>  ?o .    }"""
"23","0.5555555555555556","Who was called Frank The Tank?","""Who was called  The Tiger?""","PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?uri WHERE {         ?uri dbp:nickname 'Frank The Tank'@en . }","""select  ?s    {   ?s <http://dbpedia.org/property/nickname>  'The Tiger'@en .    }"""
"24","1.0","What is the largest country in the world?","""What is the largest country in the World?""","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/ontology/areaTotal> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1","""SELECT DISTINCT ?subjOfProp WHERE { ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . ?subjOfProp <http://dbpedia.org/ontology/areaTotal> ?num . } ORDER BY DESC(?num) LIMIT 1"""
"25","1.0","Who is the mayor of Paris?","""Who is the mayor of Paris?""","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> ?uri . }","""select  ?o    {    <http://dbpedia.org/resource/Paris> <<http://dbpedia.org/ontology/mayor>>  ?o .    }"""
"26","0.6153846153846154","Who is the coach of Ankara's ice hockey team?","""Who is the coach of Turkish Ice Hockey First League?""","SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Ankara> . ?x <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> . ?x <http://dbpedia.org/ontology/coach> ?uri . }","""select  ?o    {    <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> <http://dbpedia.org/ontology/coach>  ?o .    }"""
"27","0.7","Who is the mayor of the capital of French Polynesia?","""What is the capital of French Polynesia?""","PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>SELECT DISTINCT ?uri WHERE {         res:French_Polynesia dbo:capital ?x .        ?x dbo:mayor ?uri .}","""select  ?o    {    <http://dbpedia.org/resource/French_Polynesia> <http://dbpedia.org/ontology/capital>  ?o .    }"""
"28","1.0","Which awards did Douglas Hofstadter win?","""which awards did Douglas Hofstadter win?""","PREFIX res: <http://dbpedia.org/resource/>PREFIX dbo: <http://dbpedia.org/ontology/>SELECT DISTINCT ?uriWHERE {        res:Douglas_Hofstadter dbo:award ?uri .}","""select  ?o    {    <http://dbpedia.org/resource/Douglas_Hofstadter> <http://dbpedia.org/ontology/award>  ?o .    }"""
"29","1.0","How much did the Lego Movie cost?","""How much did The Lego Movie cost?""","SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget> ?n . } ","""select  ?o    {    <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget>  ?o .    }"""
"30","1.0","Where does Piccadilly start?","""Where does Piccadilly start?""","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/routeStart> <http://dbpedia.org/resource/Piccadilly>. } ","""select  ?s    {   ?s <http://dbpedia.org/ontology/routeStart>  <http://dbpedia.org/resource/Piccadilly> .    }"""
"31","0.0","Do Prince Harry and Prince William have the same parents?",,"PREFIX dbo: <http://dbpedia.org/ontology/> ASKWHERE {         <http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge> dbo:parent ?x .         <http://dbpedia.org/resource/Prince_Harry> dbo:parent ?x .}",
"32","0.7142857142857143","Who played Agent Smith in Matrix?","""Who played Agent Smith?""","PREFIX dbp: <http://dbpedia.org/property/>PREFIX res: <http://dbpedia.org/resource/>SELECT DISTINCT ?uriWHERE {         res:Agent_Smith dbp:portrayer ?uri . }","""select  ?o    {    <http://dbpedia.org/resource/Agent_Smith> <http://dbpedia.org/property/portrayer>  ?o .    }"""
"33","1.0","How many languages are spoken in Turkmenistan?","""How many languages are spoken in Turkmenistan?""","SELECT (COUNT(DISTINCT ?x) as ?c) WHERE {  <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?x . } ","""select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE    {    <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language>  ?objOfProp .    }"""
"34","0.5384615384615384","In which films did Julia Roberts as well as Richard Gere play?","""which films did Richard Gere starr in?""","SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Gere> . } ","""select  ?s    {   ?s <http://dbpedia.org/ontology/starring>  <http://dbpedia.org/resource/Richard_Gere> .   ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/Film> .    }"""
"35","0.875","In which country does the Ganges start?","""in which country does Ganges start?""","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE {         res:Ganges dbo:sourceCountry ?uri .}","""select  ?o    {    <http://dbpedia.org/resource/Ganges> <http://dbpedia.org/ontology/sourceCountry>  ?o .    }"""
"36","1.0","In which year was Rachel Stevens born?","""in which year was Rachel Stevens born?""","SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear> ?uri . } ","""select  ?o    {    <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear>  ?o .    }"""
"37","0.0","Is Barack Obama a democrat?",,"PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>ASKWHERE {         res:Barack_Obama dbo:party <http://dbpedia.org/resource/Democratic_Party_(United_States)> . }",
"38","0.7142857142857143","Where was Bach born?","""Where was Johann Sebastian Bach born?""","PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>SELECT DISTINCT ?uri WHERE {        res:Johann_Sebastian_Bach dbo:birthPlace ?uri .}","""select  ?o    {    <http://dbpedia.org/resource/Johann_Sebastian_Bach> <http://dbpedia.org/ontology/birthPlace>  ?o .    }"""
"39","1.0","How often did Jane Fonda marry?","""How often did Jane Fonda marry?""","SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?uri . } ","""select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE    {    <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse>  ?objOfProp .    }"""
"40","0.9","Who was the first to climb Mount Everest?","""Who was the first to climb  Mount Everest?""","PREFIX res: <http://dbpedia.org/resource/>PREFIX dbo: <http://dbpedia.org/ontology/>SELECT DISTINCT ?uriWHERE {          res:Mount_Everest dbo:firstAscentPerson ?uri . }","""select  ?o    {    <http://dbpedia.org/resource/Mount_Everest> <http://dbpedia.org/ontology/firstAscentPerson>  ?o .    }"""
"41","1.0","How many people live in Poland?","""How many People live in Poland?""","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?uri . }  ","""select  ?o    {    <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal>  ?o .    }"""
"42","0.6666666666666666","What is the location of the Houses of Parliament?","""What is the location of Turkmenistan?""","SELECT ?uri WHERE {  <http://dbpedia.org/resource/Palace_of_Westminster> <http://dbpedia.org/ontology/location> ?uri . } ","""select  ?o    {    <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/location>  ?o .    }"""
"43","0.0","Is Christian Bale starring in Batman Begins?",,"PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>ASK WHERE {	res:Batman_Begins dbo:starring res:Christian_Bale .}",
"44","1.0","In which country is the Limerick Lake?","""in which country is the Limerick Lake?""","PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>SELECT DISTINCT ?uri WHERE { 	res:Limerick_Lake dbo:country ?uri .}","""select  ?o    {    <http://dbpedia.org/resource/Limerick_Lake> <http://dbpedia.org/ontology/country>  ?o .    }"""
"45","0.5454545454545454","What was the last movie with Alec Guinness?","""What was the residence of Alec Guinness?""","SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Alec_Guinness> .  ?uri <http://dbpedia.org/ontology/releaseDate> ?date . } ORDER BY DESC(?date) LIMIT 1 ","""select  ?o    {    <http://dbpedia.org/resource/Alec_Guinness> <http://dbpedia.org/ontology/residence>  ?o .    }"""
"46","1.0","What is the highest mountain in Australia?","""What is the highest mountain in Australia?""","PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>SELECT DISTINCT ?uri WHERE {	?uri rdf:type dbo:Mountain .        ?uri dbo:locatedInArea res:Australia .        ?uri dbo:elevation ?elevation .} ORDER BY DESC(?elevation) LIMIT 1","""SELECT DISTINCT ?subjOfProp WHERE { ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> . ?subjOfProp <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Australia> . ?subjOfProp <http://dbpedia.org/ontology/elevation> ?num . } ORDER BY DESC(?num) LIMIT 1"""
"47","0.0","Is Frank Herbert still alive?",,"PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>ASK WHERE {	OPTIONAL { res:Frank_Herbert dbo:deathDate ?date . }        FILTER (!BOUND(?date))}",
"48","1.0","Who created Family Guy?","""Who created Family Guy?""","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Family_Guy> <http://dbpedia.org/ontology/creator> ?uri . }  ","""select  ?o    {    <http://dbpedia.org/resource/Family_Guy> <http://dbpedia.org/ontology/creator>  ?o .    }"""
"49","1.0","What is the official language of Suriname?","""What is the official language of Suriname?""","PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>SELECT DISTINCT ?uriWHERE {         res:Suriname dbo:officialLanguage ?uri .}","""select  ?o    {    <http://dbpedia.org/resource/Suriname> <http://dbpedia.org/ontology/officialLanguage>  ?o .    }"""
"50","0.7142857142857143","Who wrote the song Hotel California?","""Who wrote Hotel California?""","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hotel_California> <http://dbpedia.org/ontology/writer> ?uri . }","""select  ?o    {    <http://dbpedia.org/resource/Hotel_California> <http://dbpedia.org/ontology/writer>  ?o .    }"""
"51","0.0","Give me all actors starring in movies directed by William Shatner.",,"SELECT DISTINCT ?uri WHERE {  ?x <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/William_Shatner> .  ?x <http://dbpedia.org/ontology/starring> ?uri . } ",
"52","0.6","What is in a chocolate chip cookie?","""What is Chocolate chip cookie 's ingredient?""","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chocolate_chip_cookie> <http://dbpedia.org/ontology/ingredient> ?uri . }","""select  ?o    {    <http://dbpedia.org/resource/Chocolate_chip_cookie> <http://dbpedia.org/ontology/ingredient>  ?o .    }"""
"53","0.0","Give me all professional skateboarders from Sweden.",,"PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX dbp: <http://dbpedia.org/property/>PREFIX res: <http://dbpedia.org/resource/>SELECT DISTINCT ?uri WHERE {	?uri dbo:occupation res:Skateboarding .         { ?uri dbo:birthPlace res:Sweden . }        UNION        { ?uri dbo:birthPlace ?place .           ?place dbo:country res:Sweden . }}",
"54","0.0","Which ingredients do I need for carrot cake?",,"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Carrot_cake> <http://dbpedia.org/ontology/ingredient> ?uri . } ",
"55","0.0","Does Neymar play for Real Madrid?",,"ASK WHERE { <http://dbpedia.org/resource/Neymar> <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Real_Madrid_C.F.> . }",
"56","0.0","Which computer scientist won an oscar?",,"SELECT DISTINCT ?uri WHERE { { ?uri <http://dbpedia.org/ontology/field> <http://dbpedia.org/resource/Computer_science> . } UNION { ?uri <http://purl.org/dc/elements/1.1/description> ?s . FILTER regex(?s,'computer scientist','i') } ?uri <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Academy_Awards> . } ",
"57","0.0","How many companies were founded in the same year as Google?",,"SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company> .  ?uri <http://dbpedia.org/ontology/foundingYear> ?year .  <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/foundingYear> ?year . } ",
"58","0.0","In which UK city are the headquarters of the MI6?",,"PREFIX res: <http://dbpedia.org/resource/> PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>SELECT DISTINCT ?uri WHERE {         res:Secret_Intelligence_Service dbo:headquarter ?uri .         ?uri dbo:country res:United_Kingdom . }",
"59","0.0","Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?",,"PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>ASK WHERE {        res:Cuban_Missile_Crisis dbo:date ?x .	res:Bay_of_Pigs_Invasion dbo:date ?y .	FILTER (?x < ?y)}",
"60","1.0","What does IYCM stand for?","""What does IYCM stand for?""","PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>SELECT DISTINCT ?uriWHERE {        ?uri dbo:abbreviation 'IYCM' .}","""select  ?s    {   ?s <http://dbpedia.org/ontology/abbreviation>  'IYCM'    }"""
"61","0.0","When did the Ming dynasty dissolve?",,"PREFIX res: <http://dbpedia.org/resource/>PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?dateWHERE {          res:Ming_dynasty dbo:dissolutionDate ?date .}",
"62","0.0","List all episodes of the first season of the HBO television series The Sopranos!",,"PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>SELECT DISTINCT ?uri WHERE {	?uri dbo:series res:The_Sopranos  .        ?uri dbo:seasonNumber 1 .}",
"63","0.7","What is the total population of Melbourne, Florida?","""What is the population of Melbourne Florida?""","PREFIX dbo: <http://dbpedia.org/ontology/> SELECT ?uri WHERE {         <http://dbpedia.org/resource/Melbourne,_Florida> dbo:populationTotal ?uri .}","""select  ?o    {    <http://dbpedia.org/resource/Melbourne,_Florida> <http://dbpedia.org/ontology/populationTotal>  ?o .    }"""
"64","0.0","Did Arnold Schwarzenegger attend a university?",,"PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>ASKWHERE {        res:Arnold_Schwarzenegger dbo:almaMater ?x .        ?x rdf:type dbo:University .}",
"65","1.0","What country is Mount Everest in?","""what country is Mount Everest in?""","PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uriWHERE {         res:Mount_Everest dbo:locatedInArea ?uri .         ?uri rdf:type dbo:Country .}","""select  ?o    {    <http://dbpedia.org/resource/Mount_Everest> <http://dbpedia.org/ontology/locatedInArea>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/Country> .    }"""
"66","0.7777777777777778","What is the largest city in Australia?","""What is the largest city of Australia?""","PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>SELECT DISTINCT ?uri WHERE {	res:Australia dbo:largestCity ?uri .}","""select  ?o    {    <http://dbpedia.org/resource/Australia> <http://dbpedia.org/ontology/largestCity>  ?o .    }"""
"67","0.0","Give me all launch pads operated by NASA.",,"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE {         ?uri rdf:type dbo:LaunchPad .          ?uri dbo:operator res:NASA . }",
"68","1.0","Who is the mayor of Tel Aviv?","""Who is the mayor of Tel Aviv?""","PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>SELECT DISTINCT ?uriWHERE {         res:Tel_Aviv dbo:leaderName ?uri .}","""select  ?o    {    <http://dbpedia.org/resource/Tel_Aviv> <http://dbpedia.org/ontology/leaderName>  ?o .    }"""
"69","0.0","List all episodes of the first season of the HBO television series The Sopranos.",,"PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>SELECT DISTINCT ?uri WHERE {        ?uri dbo:series res:The_Sopranos  .        ?uri dbo:seasonNumber 1 .}",
"70","1.0","Who created Batman?","""Who created Batman?""","SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Batman> <http://dbpedia.org/ontology/creator> ?uri . } ","""select  ?o    {    <http://dbpedia.org/resource/Batman> <http://dbpedia.org/ontology/creator>  ?o .    }"""
"71","0.625","Who played Gus Fring in Breaking Bad?","""Who played Gus Fring?""","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Gus_Fring> <http://dbpedia.org/ontology/portrayer> ?uri . }","""select  ?o    {    <http://dbpedia.org/resource/Gus_Fring> <http://dbpedia.org/property/portrayer>  ?o .    }"""
"72","0.875","In which programming language is GIMP written?","""in which language is GIMP written?""","PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>SELECT DISTINCT ?uri WHERE { 	res:GIMP dbo:programmingLanguage ?uri .}","""select  ?o    {    <http://dbpedia.org/resource/GIMP> <http://dbpedia.org/ontology/programmingLanguage>  ?o .    }"""
"73","0.0","In which ancient empire could you pay with cocoa beans?",,"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/Cocoa_bean> . }",
"74","1.0","Who is the editor of Forbes?","""Who is the editor of Forbes?""","PREFIX res: <http://dbpedia.org/resource/>PREFIX dbo: <http://dbpedia.org/ontology/>SELECT DISTINCT ?uri WHERE {        res:Forbes dbo:editor ?uri .}","""select  ?o    {    <http://dbpedia.org/resource/Forbes> <http://dbpedia.org/ontology/editor>  ?o .    }"""
"75","0.7","How many people live in the capital of Australia?","""How many People live in Australia?""","PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX res: <http://dbpedia.org/resource/>SELECT DISTINCT ?num WHERE {        res:Australia dbo:capital ?x .        ?x dbo:populationTotal ?num .}","""select  ?o    {    <http://dbpedia.org/resource/Australia> <http://dbpedia.org/ontology/populationTotal>  ?o .    }"""
