id,QALD question,sparql,answer
15,Con chi è sposata la figlia di Robert Kennedy?,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?child .  ?child <http://dbpedia.org/ontology/spouse> ?uri . } ,[(http://dbpedia.org/resource/Andrew_Cuomo )]
16,Quali libri di Kerouac furono pubblicati da Viking Press?,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> .  ?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> .  ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . } ,"[(http://dbpedia.org/resource/Book_of_Haikus ), (http://dbpedia.org/resource/Orpheus_Emerged ), (http://dbpedia.org/resource/Old_Angel_Midnight ), (http://dbpedia.org/resource/Beat_Generation_(play) ), (http://dbpedia.org/resource/The_Subterraneans ), (http://dbpedia.org/resource/Atop_an_Underwood:_Early_Stories_and_Other_Writings ), (http://dbpedia.org/resource/The_Sea_is_My_Brother ), (http://dbpedia.org/resource/Good_Blonde_&_Others ), (http://dbpedia.org/resource/Scattered_Poems ), (http://dbpedia.org/resource/Tristessa ), (http://dbpedia.org/resource/Book_of_Dreams_(novel) ), (http://dbpedia.org/resource/Book_of_Sketches ), (http://dbpedia.org/resource/Lonesome_Traveler ), (http://dbpedia.org/resource/Door_Wide_Open ), (http://dbpedia.org/resource/The_Dharma_Bums ), (http://dbpedia.org/resource/On_the_Road ), (http://dbpedia.org/resource/Desolation_Angels_(novel) ), (http://dbpedia.org/resource/And_the_Hippos_Were_Boiled_in_Their_Tanks ), (http://dbpedia.org/resource/Visions_of_Gerard ), (http://dbpedia.org/resource/Visions_of_Cody ), (http://dbpedia.org/resource/Big_Sur_(novel) ), (http://dbpedia.org/resource/Doctor_Sax ), (http://dbpedia.org/resource/Maggie_Cassidy ), (http://dbpedia.org/resource/Satori_in_Paris ), (http://dbpedia.org/resource/The_Town_and_the_City ), (http://dbpedia.org/resource/Mexico_City_Blues ), (http://dbpedia.org/resource/Pic_(novel) ), (http://dbpedia.org/resource/Vanity_of_Duluoz ), (http://dbpedia.org/resource/References_in_On_the_Road )]"
17,Quanto è alta Amazon Eve?,SELECT DISTINCT ?height WHERE {  <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height> ?height . } ,"[(""2.02""^^xsd:double )]"
18,In quale museo è esposto l'Urlo di Munch?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
       res:The_Scream dbo:museum ?uri .
}",[(http://dbpedia.org/resource/National_Gallery_(Norway) )]
19,Chi ha scritto il libro I pilastri della Terra?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Pillars_of_the_Earth dbo:author ?uri .
}",[(http://dbpedia.org/resource/Ken_Follett )]
20,James è Bond sposato?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:James_Bond dbo:spouse ?uri . 
}",[(false)]
21,Chi ha scoperto Cerere?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer> ?uri . },[(http://dbpedia.org/resource/Giuseppe_Piazzi )]
22,Quale fiume attraversa il ponte di Brooklyn?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {       
        res:Brooklyn_Bridge dbo:crosses ?uri . 
}",[(http://dbpedia.org/resource/East_River )]
23,Chi venne chiamato Frank The Tank?,"PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
        ?uri dbp:nickname 'Frank The Tank'@en . 
}",[(http://dbpedia.org/resource/Frank_Young_(basketball) )]
24,Qual è la nazione più grande al mondo?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/ontology/areaTotal> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,[(http://dbpedia.org/resource/Asia)]
25,Chi è il sindaco di Parigi?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> ?uri . },[(http://dbpedia.org/resource/Anne_Hidalgo )]
26,Chi è l'allenatore della squadra di hockey di Ankara?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Ankara> . ?x <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> . ?x <http://dbpedia.org/ontology/coach> ?uri . },[(http://dbpedia.org/resource/%C4%B0brahim_O%C4%9Fuz )]
27,Chi è il sindaco della capitale della Polinesia Francese?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
        res:French_Polynesia dbo:capital ?x .
        ?x dbo:mayor ?uri .
}",[(http://dbpedia.org/resource/Michel_Buillard )]
28,Quali premi ha vinto Douglas Hofstadter?,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Douglas_Hofstadter dbo:award ?uri .
}","[(http://dbpedia.org/resource/American_Academy_of_Arts_and_Sciences ), (http://dbpedia.org/resource/National_Book_Award ), (http://dbpedia.org/resource/Pulitzer_Prize )]"
29,Quanto è costato il Lego Movie?,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget> ?n . } ,"[(""6.0E7""^^http://dbpedia.org/datatype/usDollar )]"
30,Dove inizia Piccadilly?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/routeStart> <http://dbpedia.org/resource/Piccadilly>. } ,[(http://dbpedia.org/resource/Dover_Street )]
31,Il principe Harry e il principe William hanno gli stessi genitoris?,"PREFIX dbo: <http://dbpedia.org/ontology/> 
ASK
WHERE { 
        <http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge> dbo:parent ?x . 
        <http://dbpedia.org/resource/Prince_Harry> dbo:parent ?x .
}",[(true)]
32,Chi interpretava l'agente Smith in Matrix?,"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Agent_Smith dbp:portrayer ?uri . 
}","[(http://dbpedia.org/resource/Hugo_Weaving ), (http://dbpedia.org/resource/Ian_Bliss )]"
33,Quante lingue sono parlate in Turkmenistan?,SELECT (COUNT(DISTINCT ?x) as ?c) WHERE {  <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?x . } ,[(2 )]
34,In quali film recitano sia Julia Roberts che Richard Gere?,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Gere> . } ,"[(http://dbpedia.org/resource/Runaway_Bride_(1999_film) ), (http://dbpedia.org/resource/The_Ant_Bully_(film) ), (http://dbpedia.org/resource/Valentine's_Day_(2010_film) ), (http://dbpedia.org/resource/Fireflies_in_the_Garden ), (http://dbpedia.org/resource/The_Pelican_Brief_(film) ), (http://dbpedia.org/resource/Mystic_Pizza ), (http://dbpedia.org/resource/Mirror_Mirror_(film) ), (http://dbpedia.org/resource/Hook_(film) ), (http://dbpedia.org/resource/I_Love_Trouble_(1994_film) ), (http://dbpedia.org/resource/Steel_Magnolias ), (http://dbpedia.org/resource/Notting_Hill_(film) ), (http://dbpedia.org/resource/Ocean's_Twelve ), (http://dbpedia.org/resource/Full_Frontal_(film) ), (http://dbpedia.org/resource/Pretty_Woman ), (http://dbpedia.org/resource/The_Normal_Heart_(film) ), (http://dbpedia.org/resource/Pr%C3%AAt-%C3%A0-Porter_(film) ), (http://dbpedia.org/resource/August:_Osage_County_(film) ), (http://dbpedia.org/resource/Closer_(2004_film) ), (http://dbpedia.org/resource/Erin_Brockovich_(film) ), (http://dbpedia.org/resource/Dying_Young ), (http://dbpedia.org/resource/Eat_Pray_Love ), (http://dbpedia.org/resource/My_Best_Friend's_Wedding ), (http://dbpedia.org/resource/Charlotte's_Web_(2006_film) ), (http://dbpedia.org/resource/Duplicity_(film) ), (http://dbpedia.org/resource/Stepmom_(film) ), (http://dbpedia.org/resource/Satisfaction_(film) ), (http://dbpedia.org/resource/Flatliners ), (http://dbpedia.org/resource/America's_Sweethearts ), (http://dbpedia.org/resource/Sleeping_with_the_Enemy ), (http://dbpedia.org/resource/Michael_Collins_(film) ), (http://dbpedia.org/resource/Larry_Crowne ), (http://dbpedia.org/resource/Confessions_of_a_Dangerous_Mind ), (http://dbpedia.org/resource/Charlie_Wilson's_War ), (http://dbpedia.org/resource/Something_to_Talk_About_(film) ), (http://dbpedia.org/resource/Mona_Lisa_Smile ), (http://dbpedia.org/resource/Ocean's_Eleven ), (http://dbpedia.org/resource/The_Mexican ), (http://dbpedia.org/resource/Mary_Reilly_(film) ), (http://dbpedia.org/resource/Conspiracy_Theory_(film) )]"
35,In quale stato nasce il Gange?,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
        res:Ganges dbo:sourceCountry ?uri .
}",[(http://dbpedia.org/resource/India )]
36,In quale anno è nata Rachel Stevens?,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear> ?uri . } ,"[(""1978""^^xsd:gYear )]"
37,Barack Obama è un democratico?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK
WHERE { 
        res:Barack_Obama dbo:party <http://dbpedia.org/resource/Democratic_Party_(United_States)> . 
}",[(true)]
38,Dove è nato Bach?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
        res:Johann_Sebastian_Bach dbo:birthPlace ?uri .
}",[(http://dbpedia.org/resource/Eisenach )]
39,Quante volte si è sposata Jane Fonda?,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?uri . } ,[(3 )]
40,Chi è stato il primo a scalare il Monte Everest?,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
          res:Mount_Everest dbo:firstAscentPerson ?uri . 
}","[(http://dbpedia.org/resource/Edmund_Hillary ), (http://dbpedia.org/resource/Krzysztof_Wielicki ), (http://dbpedia.org/resource/Leszek_Cichy ), (http://dbpedia.org/resource/Tenzing_Norgay )]"
41,Quante persone vivono in Polonia?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?uri . }  ,"[(""38186860""^^xsd:nonNegativeInteger )]"
42,Dove si trova il Palazzo di Westminster?,SELECT ?uri WHERE {  <http://dbpedia.org/resource/Palace_of_Westminster> <http://dbpedia.org/ontology/location> ?uri . } ,"[(http://dbpedia.org/resource/City_of_Westminster ), (http://dbpedia.org/resource/England ), (http://dbpedia.org/resource/Greater_London )]"
43,Christian Bale ha recitato in Batman Begins?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	res:Batman_Begins dbo:starring res:Christian_Bale .
}",[(false)]
44,In quale stato si trova il lago Limerick?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
	res:Limerick_Lake dbo:country ?uri .
}",[(http://dbpedia.org/resource/Canada )]
45,Qual è l'ultimo film con Alec Guinness?,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Alec_Guinness> .  ?uri <http://dbpedia.org/ontology/releaseDate> ?date . } ORDER BY DESC(?date) LIMIT 1 ,[(http://dbpedia.org/resource/Kafka_(film))]
46,Qual è la montagna più alta d'Australia?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
	?uri rdf:type dbo:Mountain .
        ?uri dbo:locatedInArea res:Australia .
        ?uri dbo:elevation ?elevation .
} 
ORDER BY DESC(?elevation) LIMIT 1",[(http://dbpedia.org/resource/Mount_Kaye)]
47,Frank Herbert è ancora vivo?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	OPTIONAL { res:Frank_Herbert dbo:deathDate ?date . }
        FILTER (!BOUND(?date))
}",[(false)]
48,Chi ha creato I Griffin?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Family_Guy> <http://dbpedia.org/ontology/creator> ?uri . }  ,[(http://dbpedia.org/resource/Seth_MacFarlane )]
49,Qual è la lingua ufficiale del Suriname?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Suriname dbo:officialLanguage ?uri .
}",[(http://dbpedia.org/resource/Dutch_language )]
50,Chi ha scritto la canzone Hotel California?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hotel_California> <http://dbpedia.org/ontology/writer> ?uri . },"[(http://dbpedia.org/resource/Don_Felder ), (http://dbpedia.org/resource/Don_Henley ), (http://dbpedia.org/resource/Glenn_Frey )]"
51,Dammi tutti gli attori che recitano in film diretti da William Shatner.,SELECT DISTINCT ?uri WHERE {  ?x <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/William_Shatner> .  ?x <http://dbpedia.org/ontology/starring> ?uri . } ,"[(http://dbpedia.org/resource/DeForest_Kelley ), (http://dbpedia.org/resource/George_Takei ), (http://dbpedia.org/resource/James_Doohan ), (http://dbpedia.org/resource/Leonard_Nimoy ), (http://dbpedia.org/resource/Nichelle_Nichols ), (http://dbpedia.org/resource/Walter_Koenig ), (http://dbpedia.org/resource/Dan_Martin_(actor) ), (http://dbpedia.org/resource/William_Shatner ), (http://dbpedia.org/resource/Tom_Towles ), (http://dbpedia.org/resource/Chuck_Williams_(actor) ), (http://dbpedia.org/resource/Amy_Acker ), (http://dbpedia.org/resource/Duane_Whitaker ), (http://dbpedia.org/resource/John_Prosky ), (http://dbpedia.org/resource/Dan_Gauthier ), (http://dbpedia.org/resource/J.T._Colosa ), (http://dbpedia.org/resource/Dick_Van_Patten ), (http://dbpedia.org/resource/Brenda_Bakke ), (http://dbpedia.org/resource/Rickey_Medlocke )]"
52,Cosa c'e' in un biscotto con gocce di cioccolato?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chocolate_chip_cookie> <http://dbpedia.org/ontology/ingredient> ?uri . },"[(http://dbpedia.org/resource/Chocolate_chip ), (http://dbpedia.org/resource/Vanilla ), (http://dbpedia.org/resource/Sodium_bicarbonate ), (http://dbpedia.org/resource/Egg_(food) ), (http://dbpedia.org/resource/Brown_sugar ), (http://dbpedia.org/resource/Salt ), (http://dbpedia.org/resource/Butter ), (http://dbpedia.org/resource/Shortening ), (http://dbpedia.org/resource/Sugar ), (http://dbpedia.org/resource/Flour )]"
53,Dammi tutti gli skateboarders professionisti di Svezia.,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	?uri dbo:occupation res:Skateboarding . 
        { ?uri dbo:birthPlace res:Sweden . }
        UNION
        { ?uri dbo:birthPlace ?place . 
          ?place dbo:country res:Sweden . }
}","[(http://dbpedia.org/resource/Ali_Boulala),(http://dbpedia.org/resource/Tony_Magnusson)]"
54,Di quali ingredienti ho bisogno per la torta di carote?,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Carrot_cake> <http://dbpedia.org/ontology/ingredient> ?uri . } ,"[(http://dbpedia.org/resource/Allspice ), (http://dbpedia.org/resource/Carrot ), (http://dbpedia.org/resource/Cream_cheese ), (http://dbpedia.org/resource/Egg_(food) ), (http://dbpedia.org/resource/Flour ), (http://dbpedia.org/resource/Icing_(food) ), (http://dbpedia.org/resource/Marzipan ), (http://dbpedia.org/resource/Nutmeg ), (http://dbpedia.org/resource/Sugar )]"
55,Neymar gioca per il Real Madrid?,ASK WHERE { <http://dbpedia.org/resource/Neymar> <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Real_Madrid_C.F.> . },[(false)]
56,Quale informatico ha vinto un Oscar?,"SELECT DISTINCT ?uri WHERE { { ?uri <http://dbpedia.org/ontology/field> <http://dbpedia.org/resource/Computer_science> . } UNION { ?uri <http://purl.org/dc/elements/1.1/description> ?s . FILTER regex(?s,'computer scientist','i') } ?uri <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Academy_Awards> . } ",[]
57,Quante società sono state fondate nello stesso anno di Google?,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company> .  ?uri <http://dbpedia.org/ontology/foundingYear> ?year .  <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/foundingYear> ?year . } ,[(6 )]
58,In quale città del Regno Unito si trova il quartier generale del MI6?,"PREFIX res: <http://dbpedia.org/resource/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE { 
        res:Secret_Intelligence_Service dbo:headquarter ?uri . 
        ?uri dbo:country res:United_Kingdom . 
}","[(http://dbpedia.org/resource/London ), (http://dbpedia.org/resource/SIS_Building ), (http://dbpedia.org/resource/United_Kingdom )]"
59,La crisi dei missili di Cuba avvenne prima dello sbarco nella Baia dei Porci?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:Cuban_Missile_Crisis dbo:date ?x .
	res:Bay_of_Pigs_Invasion dbo:date ?y .
	FILTER (?x < ?y)
}",[(false)]
60,Che cosa significa IYCM?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
        ?uri dbo:abbreviation 'IYCM' .
}",[(http://dbpedia.org/resource/Youth_Climate_Movement)]
61,Quando è scomparsa la dinastia Ming?,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?date
WHERE {  
        res:Ming_dynasty dbo:dissolutionDate ?date .
}","[(""1644-04-25""^^xsd:date )]"
