"id","question","sparql","answer"
"12","Is proinsulin a protein?"," PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> ASK WHERE { res:Proinsulin rdf:type dbo:Protein . } ","[true]"
"120","How tall is Michael Jordan?"," PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?num WHERE { res:Michael_Jordan dbo:height ?num . } ","[(""1.9812""^^xsd:double )]"
"121","What is the capital of Canada?"," PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Canada dbo:capital ?uri . } ","[(http://dbpedia.org/resource/Ottawa )]"
"122","Who is the governor of Wyoming?"," PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?uri WHERE { res:Wyoming dbp:governor ?uri . } ","[(http://dbpedia.org/resource/Matt_Mead )]"
"123","Do Prince Harry and Prince William have the same parents?"," PREFIX dbo: <http://dbpedia.org/ontology/> ASKWHERE { <http://dbpedia.org/resource/Prince_Wiliam,_Duke_of_Cambridge> dbo:parent ?x . <http://dbpedia.org/resource/Prince_Hary> dbo:parent ?x .} ","[true]"
"124","Who was the father of Queen Elizabeth II?"," PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?uri WHERE { res:Elizabeth_I dbp:father ?uri . } ","[]"
"125","Which U.S. state has been admitted latest?"," PREFIX dbp: <http://dbpedia.org/property/> PREFIX yago: <http://dbpedia.org/clas/yago/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type yago:StatesOfTheUnitedStates . ?uri dbp:admitancedate ?x . } ORDER BY DESC(?x) OFSET 0 LIMIT 1 ","[]"
"126","How many languages are spoken in Turkmenistan?"," PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT COUNT(DISTINCT ?x) WHERE { res:Turkmenistan dbo:language ?x . } ","[]"
"127","Sean Parnell is the governor of which U.S. state?"," PREFIX yago: <http://dbpedia.org/clas/yago/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type yago:StatesOfTheUnitedStates . ?uri dbp:governor res:Sean_Parnel . } ","[]"
"128","Give me all movies directed by Francis Ford Coppola."," PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Film . ?uri dbo:director res:Francis_Ford_Coppola . } ","[(http://dbpedia.org/resource/Youth_Without_Youth_(film) ), (http://dbpedia.org/resource/Apocalypse_Now_Redux ), (http://dbpedia.org/resource/The_Rain_People ), (http://dbpedia.org/resource/The_Godfather_Part_III ), (http://dbpedia.org/resource/Tonight_for_Sure ), (http://dbpedia.org/resource/The_Cotton_Club_(film) ), (http://dbpedia.org/resource/One_from_the_Heart ), (http://dbpedia.org/resource/Tetro ), (http://dbpedia.org/resource/The_Bellboy_and_the_Playgirls ), (http://dbpedia.org/resource/Peggy_Sue_Got_Married ), (http://dbpedia.org/resource/The_Rainmaker_(1997_film) ), (http://dbpedia.org/resource/Jack_(1996_film) ), (http://dbpedia.org/resource/Dementia_13 ), (http://dbpedia.org/resource/The_Godfather ), (http://dbpedia.org/resource/The_Godfather_Saga ), (http://dbpedia.org/resource/You're_a_Big_Boy_Now ), (http://dbpedia.org/resource/Apocalypse_Now ), (http://dbpedia.org/resource/Hammett_(film) ), (http://dbpedia.org/resource/The_Conversation ), (http://dbpedia.org/resource/The_Godfather_Part_II ), (http://dbpedia.org/resource/Battle_Beyond_the_Sun ), (http://dbpedia.org/resource/Tucker:_The_Man_and_His_Dream ), (http://dbpedia.org/resource/The_Terror_(1963_film) ), (http://dbpedia.org/resource/Rumble_Fish ), (http://dbpedia.org/resource/The_Godfather_(film_series) ), (http://dbpedia.org/resource/Twixt_(film) ), (http://dbpedia.org/resource/Gardens_of_Stone ), (http://dbpedia.org/resource/Bram_Stoker's_Dracula ), (http://dbpedia.org/resource/The_Outsiders_(film) ), (http://dbpedia.org/resource/New_York_Stories )]"
"129","Give me all actors starring in movies directed by William Shatner."," PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?x dbo:director res:William_Shatner . ?x dbo:starring ?uri . } ","[(http://dbpedia.org/resource/DeForest_Kelley ), (http://dbpedia.org/resource/George_Takei ), (http://dbpedia.org/resource/James_Doohan ), (http://dbpedia.org/resource/Leonard_Nimoy ), (http://dbpedia.org/resource/Nichelle_Nichols ), (http://dbpedia.org/resource/Walter_Koenig ), (http://dbpedia.org/resource/Dan_Martin_(actor) ), (http://dbpedia.org/resource/William_Shatner ), (http://dbpedia.org/resource/Tom_Towles ), (http://dbpedia.org/resource/Chuck_Williams_(actor) ), (http://dbpedia.org/resource/Amy_Acker ), (http://dbpedia.org/resource/Duane_Whitaker ), (http://dbpedia.org/resource/John_Prosky ), (http://dbpedia.org/resource/Dan_Gauthier ), (http://dbpedia.org/resource/J.T._Colosa ), (http://dbpedia.org/resource/Dick_Van_Patten ), (http://dbpedia.org/resource/Brenda_Bakke ), (http://dbpedia.org/resource/Rickey_Medlocke )]"
"13","Are tree frogs a type of amphibian?"," PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { res:Hylidae dbo:clas res:Amphibian . } ","[true]"
"130","What is the birth name of Angela Merkel?"," PREFIX dbp: <http://dbpedia.org/property/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?string WHERE { res:Angela_Merkel dbp:birthName ?string . } ","[(""Angela Dorothea Kasner""@en )]"
