"QALD id","match status","QALD question","QueGG question","QALD SPARQL query","QueGG SPARQL query"
"260","1.0","Give me a count of royalties buried in Rome ?","Give me a count of royalties buried in Rome ?","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/placeOfBurial> <http://dbpedia.org/resource/Rome>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>}","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/placeOfBurial> <http://dbpedia.org/resource/Rome>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>}"
"284","1.0","Greater Napanee is the home town of what people?","Greater Napanee is the home town of what people?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Greater_Napanee>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Greater_Napanee>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>
}"
"285","1.0","In which state is the Channel district?","In which state is the Channel district?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Channel_District> <http://dbpedia.org/ontology/state> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Channel_District> <http://dbpedia.org/ontology/state> ?uri 
}"
"301","1.0","What is Jon Speelman famous for?","What is Jon Speelman famous for?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jon_Speelman> <http://dbpedia.org/ontology/field> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Jon_Speelman> <http://dbpedia.org/ontology/field> ?uri 
}"
"341","1.0","What is the magazine which have been  founded by Ralph J. Gleason?","What is the magazine which have been  founded by Ralph J. Gleason?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/founder> <http://dbpedia.org/resource/Ralph_J._Gleason>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Magazine>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/founder> <http://dbpedia.org/resource/Ralph_J._Gleason>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Magazine>
}"
"379","1.0","Whos a famous relative of anne spielberg?","Whos a famous relative of anne spielberg?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/relation> <http://dbpedia.org/resource/Anne_Spielberg>  . }","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/relation> <http://dbpedia.org/resource/Anne_Spielberg>  . 
}"
"384","1.0","List the director of The Adventures of mimi ?","List the director of The Adventures of mimi ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Adventures_of_Mimi_(video)> <http://dbpedia.org/property/director> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/The_Adventures_of_Mimi_(video)> <http://dbpedia.org/property/director> ?uri 
}"
"385","1.0","Count the units garrisoned at Arlington County, Virginia.","Count the units garrisoned at Arlington County, Virginia.","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/garrison> <http://dbpedia.org/resource/Arlington_County,_Virginia>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryUnit>}","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/garrison> <http://dbpedia.org/resource/Arlington_County,_Virginia>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryUnit>}"
"395","1.0","How many golf players are there in Arizona State Sun Devils ?","How many golf players are there in Arizona State Sun Devils ?","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/college> <http://dbpedia.org/resource/Arizona_State_Sun_Devils>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/GolfPlayer>}","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/college> <http://dbpedia.org/resource/Arizona_State_Sun_Devils>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/GolfPlayer>}"
"404","0.0","Which tenant of New Sanno Hotel is the military branch of the Gary Holder-Winfield ?",," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/New_Sanno_Hotel> <http://dbpedia.org/ontology/tenant> ?uri. <http://dbpedia.org/resource/Gary_Holder-Winfield> <http://dbpedia.org/ontology/militaryBranch> ?uri} ",
"412","1.0","List the newspapers whose offices are situated in 1211 Avenue of the Americas?","List the newspapers whose offices are situated in 1211 Avenue of the Americas?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/headquarter> <http://dbpedia.org/resource/1211_Avenue_of_the_Americas>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Newspaper>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/headquarter> <http://dbpedia.org/resource/1211_Avenue_of_the_Americas>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Newspaper>
}"
"419","1.0","List the ingredient of Blodpalt ?","List the ingredient of Blodpalt ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Blodpalt> <http://dbpedia.org/ontology/ingredient> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Blodpalt> <http://dbpedia.org/ontology/ingredient> ?uri 
}"
"455","1.0","List the battles fought by  Ali Habib Mahmud ?","List the battles fought by  Ali Habib Mahmud ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ali_Habib_Mahmud> <http://dbpedia.org/property/battles> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Ali_Habib_Mahmud> <http://dbpedia.org/property/battles> ?uri 
}"
"504","1.0","What honours did Reigh Count receive?","What honours did Reigh Count receive?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Reigh_Count> <http://dbpedia.org/ontology/honours> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Reigh_Count> <http://dbpedia.org/ontology/honours> ?uri 
}"
"512","0.706766917293233","Who is the fictional character whose relative is Vestigial Peter?","Who is the fictional character whose family member is Padme Amidala?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/relative> <http://dbpedia.org/resource/Vestigial_Peter>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/FictionalCharacter>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/family> <http://dbpedia.org/resource/Padmé_Amidala>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/FictionalCharacter>
}"
"523","1.0","What is the company to which Fusajiro Yamauchi proprietor to ?","What is the company to which Fusajiro Yamauchi proprietor to ?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/foundedBy> <http://dbpedia.org/resource/Fusajiro_Yamauchi>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/foundedBy> <http://dbpedia.org/resource/Fusajiro_Yamauchi>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company>
}"
"525","1.0","Name the debut team of Dan Otero ?","Name the debut team of Dan Otero ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dan_Otero> <http://dbpedia.org/ontology/debutTeam> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Dan_Otero> <http://dbpedia.org/ontology/debutTeam> ?uri 
}"
"559","1.0","Who is the owner of Saumarez ?","Who is the owner of Saumarez ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Saumarez_(horse)> <http://dbpedia.org/ontology/owner> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Saumarez_(horse)> <http://dbpedia.org/ontology/owner> ?uri 
}"
"562","1.0","What automobile engine's successor is BMW M40","What automobile engine's successor is BMW M40","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/successor> <http://dbpedia.org/resource/BMW_M40>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/AutomobileEngine>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/successor> <http://dbpedia.org/resource/BMW_M40>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/AutomobileEngine>
}"
"606","1.0","What is the commander of Battle of Brownstown ?","What is the commander of Battle of Brownstown ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Battle_of_Brownstown> <http://dbpedia.org/ontology/commander> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Battle_of_Brownstown> <http://dbpedia.org/ontology/commander> ?uri 
}"
"616","1.0","list some companies founded by Jim Harris.","list some companies founded by Jim Harris."," SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/foundedBy> <http://dbpedia.org/resource/Jim_Harris_(entrepreneur)> } ","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/foundedBy> <http://dbpedia.org/resource/Jim_Harris_(entrepreneur)> 
}"
"638","1.0","Who founded the Not on our Watch NGO?","Who founded the Not on our Watch NGO?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Not_on_Our_Watch_(organization)> <http://dbpedia.org/ontology/foundedBy> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Not_on_Our_Watch_(organization)> <http://dbpedia.org/ontology/foundedBy> ?uri 
}"
"663","1.0","Tirana is the largest city of which country?","Tirana is the largest city of which country?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/largestCity> <http://dbpedia.org/resource/Tirana>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/largestCity> <http://dbpedia.org/resource/Tirana>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>
}"
"698","1.0","How many fictional characters were humans?","How many fictional characters were humans?","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/species> <http://dbpedia.org/resource/Human>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/FictionalCharacter>}","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/species> <http://dbpedia.org/resource/Human>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/FictionalCharacter>}"
"699","1.0","Where was James H. Fields buried ?","Where was James H. Fields buried ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/James_H._Fields> <http://dbpedia.org/property/placeofburial> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/James_H._Fields> <http://dbpedia.org/property/placeofburial> ?uri 
}"
"723","1.0","Who is the leader of Hackweiser ?","Who is the leader of Hackweiser ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hackweiser> <http://dbpedia.org/property/leaderName> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Hackweiser> <http://dbpedia.org/property/leaderName> ?uri 
}"
"732","1.0","Which technological products were manufactured by Foxconn?","Which technological products were manufactured by Foxconn?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/manufacturer> <http://dbpedia.org/resource/Foxconn>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/InformationAppliance>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/manufacturer> <http://dbpedia.org/resource/Foxconn>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/InformationAppliance>
}"
"762","1.0","What cities are nearer to Fuountain Lake Farm?","What cities are nearer to Fuountain Lake Farm?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fountain_Lake_Farm> <http://dbpedia.org/property/nearestCity> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Fountain_Lake_Farm> <http://dbpedia.org/property/nearestCity> ?uri 
}"
"797","1.0","What are the current music bands of Chester Bennington?","What are the current music bands of Chester Bennington?"," SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/currentMembers> <http://dbpedia.org/resource/Chester_Bennington> } ","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/currentMembers> <http://dbpedia.org/resource/Chester_Bennington> 
}"
"804","1.0","On what subjects was Broca's Brain written?","On what subjects was Broca's Brain written?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Broca's_Brain> <http://dbpedia.org/property/subject> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Broca's_Brain> <http://dbpedia.org/property/subject> ?uri 
}"
"825","1.0","What river originates in Kingston Ontario?","What river originates in Kingston Ontario?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/sourceLocation> <http://dbpedia.org/resource/Kingston,_Ontario>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/sourceLocation> <http://dbpedia.org/resource/Kingston,_Ontario>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>
}"
"827","1.0","What is the television show whose executive producer is Douglas Netter?","What is the television show whose executive producer is Douglas Netter?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/executiveProducer> <http://dbpedia.org/resource/Douglas_Netter>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/executiveProducer> <http://dbpedia.org/resource/Douglas_Netter>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>
}"
"848","1.0","Where did Whitney Wistert debut?","Where did Whitney Wistert debut?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Whitey_Wistert> <http://dbpedia.org/property/debutteam> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Whitey_Wistert> <http://dbpedia.org/property/debutteam> ?uri 
}"
"851","1.0","What novels are belong to the genre of Utopian and dystopian fiction?","What novels are belong to the genre of Utopian and dystopian fiction?"," SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/literaryGenre> <http://dbpedia.org/resource/Utopian_and_dystopian_fiction> } ","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/literaryGenre> <http://dbpedia.org/resource/Utopian_and_dystopian_fiction> 
}"
"853","1.0","What is the programme format of WWTR ?","What is the programme format of WWTR ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/WWTR> <http://dbpedia.org/ontology/programmeFormat> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/WWTR> <http://dbpedia.org/ontology/programmeFormat> ?uri 
}"
"860","1.0","Name the office of Richard Coke ?","Name the office of Richard Coke ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Richard_Coke> <http://dbpedia.org/property/office> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Richard_Coke> <http://dbpedia.org/property/office> ?uri 
}"
"875","1.0","Who are the characters of Batman Live?","Who are the characters of Batman Live?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Batman_Live> <http://dbpedia.org/property/characters> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Batman_Live> <http://dbpedia.org/property/characters> ?uri 
}"
"899","1.0","To which political party does Virendra Kataria belongs ?","To which political party does Virendra Kataria belongs ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Virendra_Kataria> <http://dbpedia.org/property/party> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Virendra_Kataria> <http://dbpedia.org/property/party> ?uri 
}"
"901","1.0","Which are the countires where Pioneer Corporation has flourished?","Which are the countires where Pioneer Corporation has flourished?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pioneer_Corporation> <http://dbpedia.org/property/country> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Pioneer_Corporation> <http://dbpedia.org/property/country> ?uri 
}"
"924","1.0","Who all are known to play the Gibson Guitar Corporation?","Who all are known to play the Gibson Guitar Corporation?"," SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/notableInstruments> <http://dbpedia.org/resource/Gibson_Guitar_Corporation> } ","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/notableInstruments> <http://dbpedia.org/resource/Gibson_Guitar_Corporation> 
}"
"936","1.0","What is the university whose campus is Mount Moosilauke?","What is the university whose campus is Mount Moosilauke?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/campus> <http://dbpedia.org/resource/Mount_Moosilauke>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/University>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/campus> <http://dbpedia.org/resource/Mount_Moosilauke>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/University>
}"
"953","1.0","What is the appliance which uses the central processing unit manufactured by Marvell Technology Group?","What is the appliance which uses the central processing unit manufactured by Marvell Technology Group?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/cpu> <http://dbpedia.org/resource/Marvell_Technology_Group>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/InformationAppliance>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/cpu> <http://dbpedia.org/resource/Marvell_Technology_Group>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/InformationAppliance>
}"
"956","1.0","How many people used to play in the youthclub of FC Barcelona?","How many people used to play in the youthclub of FC Barcelona?","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/youthclubs> <http://dbpedia.org/resource/FC_Barcelona>  . }","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/youthclubs> <http://dbpedia.org/resource/FC_Barcelona>  . }"
"991","1.0","What are some apes?","What are some apes?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/family> <http://dbpedia.org/resource/Ape>  . }","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/family> <http://dbpedia.org/resource/Ape>  . 
}"
"995","1.0","Where is the headquarters of Metro Transit (Minnesota) ?","Where is the headquarters of Metro Transit (Minnesota) ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Metro_Transit_(Minnesota)> <http://dbpedia.org/property/headquarters> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Metro_Transit_(Minnesota)> <http://dbpedia.org/property/headquarters> ?uri 
}"
"1002","1.0","Who are the current members of Insects vs Robots?","Who are the current members of Insects vs Robots?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Insects_vs_Robots> <http://dbpedia.org/property/currentMembers> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Insects_vs_Robots> <http://dbpedia.org/property/currentMembers> ?uri 
}"
"1012","1.0","What magazine companies are of form Limited liability company?","What magazine companies are of form Limited liability company?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/company> <http://dbpedia.org/resource/Limited_liability_company>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Magazine>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/company> <http://dbpedia.org/resource/Limited_liability_company>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Magazine>
}"
"1016","0.0","Name the river whose mouth mountain is Southend-on-Sea and mouth place is Essex?",,"SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/mouthMountain> <http://dbpedia.org/resource/Southend-on-Sea> . ?uri <http://dbpedia.org/ontology/mouthPlace> <http://dbpedia.org/resource/Essex>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>}",
"1021","1.0","What rivers originate from Australian Alps?","What rivers originate from Australian Alps?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/sourcePlace> <http://dbpedia.org/resource/Australian_Alps>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/sourcePlace> <http://dbpedia.org/resource/Australian_Alps>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>
}"
"1059","1.0","What are the track and field events of Jamiatu Muslim Mindanao?","What are the track and field events of Jamiatu Muslim Mindanao?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jamiatu_Muslim_Mindanao> <http://dbpedia.org/property/athletics> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Jamiatu_Muslim_Mindanao> <http://dbpedia.org/property/athletics> ?uri 
}"
"1065","1.0","Which is the university of Vanderbilt Commodores ?","Which is the university of Vanderbilt Commodores ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Vanderbilt_Commodores> <http://dbpedia.org/ontology/university> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Vanderbilt_Commodores> <http://dbpedia.org/ontology/university> ?uri 
}"
