QALD id,match status,QALD question,QueGG question,,TP,FP,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
56,0,Welcher Informatiker hat einen Oscar gewonnen?,,,0,0,"SELECT DISTINCT ?uri WHERE { { ?uri <http://dbpedia.org/ontology/field> <http://dbpedia.org/resource/Computer_science> . } UNION { ?uri <http://purl.org/dc/elements/1.1/description> ?s . FILTER regex(?s,'computer scientist','i') } ?uri <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Academy_Awards> . } ",,0,0,0,0,0,0
57,0,Wieviele Firmen wurden im selben Jahr wie Google gegründet?,,,0,0,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company> .  ?uri <http://dbpedia.org/ontology/foundingYear> ?year .  <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/foundingYear> ?year . } ,,0,0,1,0,0,0
58,0,In welcher Stadt im Vereinigten Königreich ist das Hauptquartier des MI6?,compositie,,0,0,"PREFIX res: <http://dbpedia.org/resource/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE { 
        res:Secret_Intelligence_Service dbo:headquarter ?uri . 
        ?uri dbo:country res:United_Kingdom . 
}",,0,0,2,0,0,0
59,0,War die Kubakrise vor der Schweinebuchtinvasion?,,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:Cuban_Missile_Crisis dbo:date ?x .
	res:Bay_of_Pigs_Invasion dbo:date ?y .
	FILTER (?x < ?y)
}",,0,0,1,0,0,0
62,0,Liste alle Episoden der ersten Staffel der HBO-Fernsehserie Die Sopranos auf.,,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	?uri dbo:series res:The_Sopranos  .
        ?uri dbo:seasonNumber 1 .
}",,0,0,0,0,0,0
68,0.973684210526316,Wer ist der Bürgermeister von Florenz?,"""wer ist der B�rgermeister von Florenz?""",should work,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Florence dbo:leaderName ?uri .
}","""select  ?o    
{
    <http://dbpedia.org/resource/Florence> <http://dbpedia.org/ontology/mayor>  ?o .    
}""",0,0,1,0,0,0
69,0,Liste alle Episoden der ersten Staffel der HBO-Fernsehserie Die Sopranos auf.,,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
        ?uri dbo:series res:The_Sopranos  .
        ?uri dbo:seasonNumber 1 .
}",,0,0,0,0,0,0
73,0,In welchem alten Reich konnte man mit Kakaobohnen bezahlen?,,,0,0,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/Cocoa_bean> . },,0,0,2,0,0,0
75,0.791208791208791,Wieviele Menschen leben in der Hauptstadt Australiens?,"""Wieviel  Menschen leben in Australien""",composite,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?num 
WHERE {
        res:Australia dbo:capital ?x .
        ?x dbo:populationTotal ?num .
}","""select  ?o    
{
    <http://dbpedia.org/resource/Australia> <http://dbpedia.org/ontology/populationTotal>  ?o .    
}""",0,0,1,0,0,0
77,0,Welche Elektronikunternehmen wurden in Peking gegründet?,,,0,0,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Electronics> . ?uri <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/Beijing> . },,0,0,0,0,0,0
79,0,Wieviele Aldi-Filialen gibt es?,,,0,0,SELECT DISTINCT ?number WHERE {  <http://dbpedia.org/resource/Aldi> <http://dbpedia.org/ontology/numberOfLocations> ?number . } ,,0,0,1,0,0,0
80,1,Was ist die Hauptstadt von Kamerun?,"""was ist die Hauptstadt von Kamerun?""",,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cameroon> <http://dbpedia.org/ontology/capital> ?uri. } ,"""select  ?o    
{
    <http://dbpedia.org/resource/Cameroon> <http://dbpedia.org/ontology/capital>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/City> .    
}""",0,0,1,0,0,0
81,0,"Gibt es ein Videospiel, das Battle Chess heißt?",,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
ASK 
WHERE {
	?uri rdf:type dbo:VideoGame .
        ?uri rdfs:label 'Battle Chess'@en .
}",,0,0,1,0,0,0
83,0,"Gib mir alle Filme, bei denen Francis Ford Coppola Regie geführt hat.",,,0,0,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Francis_Ford_Coppola> . } ,,0,0,33,0,0,0
84,0,Welcher von Tim Burtons Filmen hatte das höchste Budget?,,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
        ?uri dbo:director res:Tim_Burton .
        ?uri dbo:budget ?b .
}
ORDER BY ?b
OFFSET 0 LIMIT 1",,0,0,1,0,0,0
86,0,Wer wurde Rodzilla genannt?,,,0,0,"PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
         ?uri dbp:nickname ""Rodzilla""@en .
}",,0,0,0,0,0,0
88,0.985915492957746,Gib mir die Enkel von Elvis Presley.,"""Gib mir die Enkel von Elvis Presley""",,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Elvis_Presley> <http://dbpedia.org/ontology/child> ?child . ?child <http://dbpedia.org/ontology/child> ?uri . },"""select  ?o    
{
    <http://dbpedia.org/resource/Elvis_Presley> <http://dbpedia.org/ontology/parent>  ?o .    
}""",0,0,1,0,0,0
89,0,"Bei welchen Filmen, in denen Mickey Rourke mitspielt, hat Guy Ritchie Regie geführt?",,,0,0,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Mickey_Rourke> . ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Guy_Ritchie> . } ,,0,0,1,0,0,0
90,0.821917808219178,Wann ist Draculas Schöpfer gestorben?,"""Wann ist Claudia Schiffer gestorben?""",should work,0,0,SELECT DISTINCT ?date WHERE {  <http://dbpedia.org/resource/Count_Dracula> <http://dbpedia.org/ontology/creator> ?x .  ?x <http://dbpedia.org/ontology/deathDate> ?date . } ,"""select  ?o    
{
    <http://dbpedia.org/resource/Claudia_Schiffer> <http://dbpedia.org/ontology/deathDate>  ?o .    
}""",0,0,1,0,0,0
91,0,Aus welchem Land kommt der Erfinder von Nijntje?,,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:Miffy dbo:creator ?x .
	?x dbo:nationality ?uri .
}",,0,0,0,0,0,0
94,0,Wieviele Firmen hat der Gründer von Facebook gegründet?,,,0,0,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  <http://dbpedia.org/resource/Facebook> <http://dbpedia.org/ontology/foundedBy> ?uri .  ?uri <http://dbpedia.org/ontology/foundedBy> ?uri . } ,,0,0,1,0,0,0
95,0,Gib mir alle kanadischen Grunge-Plattenfirmen.,,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
	?uri rdf:type dbo:RecordLabel .
        ?uri dbo:genre res:Grunge .
        ?uri dbo:country res:Canada .
}",,0,0,1,0,0,0
96,0.777777777777778,Wieviele Kinder hatte Benjamin Franklin?,"""wer heiratete Benjamin Franklin?""",,0,1,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  <http://dbpedia.org/resource/Benjamin_Franklin> <http://dbpedia.org/ontology/child> ?uri . } ,"""select  ?o    
{
    <http://dbpedia.org/resource/Benjamin_Franklin> <http://dbpedia.org/ontology/spouse>  ?o .    
}""",0,1,1,0,0,0
104,0,Welche Flughäfen fliegt Yeti Airlines an?,,,0,0,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Yeti_Airlines> <http://dbpedia.org/ontology/targetAirport> ?uri . },,0,0,5,0,0,0
105,0,Welches indische Unternehmen hat die meisten Angestellten?,,,0,0,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/India> . ?uri <http://dbpedia.org/ontology/numberOfEmployees> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,,0,0,1,0,0,0
107,0,Welche Stadt hat die meisten Einwohner?,,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
         ?uri rdf:type dbo:City . 
         ?uri dbo:populationTotal ?pop . 
}
ORDER BY DESC(?pop)
OFFSET 0 LIMIT 1",,0,0,1,0,0,0
111,0,Wieviele ethnische Gruppen leben in Slovenien?,,composite,0,0,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  <http://dbpedia.org/resource/Slovenia> <http://dbpedia.org/ontology/ethnicGroup> ?uri . } ,,0,0,1,0,0,0
113,0,Bei wievielen Filmen hat Stanley Kubrick Regie geführt?,,,0,0,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Stanley_Kubrick> . },,0,0,16,0,0,0
115,0.782608695652174,Wieviele Seiten hat Krieg und Frieden?,"""wer verlegen Krieg und Frieden?""",,0,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?n
WHERE {
        res:War_and_Peace dbo:numberOfPages ?n .
}","""select  ?o    
{
    <http://dbpedia.org/resource/War_and_Peace> <http://dbpedia.org/ontology/publisher>  ?o .    
}""",0,1,1,0,0,0
116,0,Wer ist der jüngste Spieler in der Premier League?,,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
        ?uri dbo:team ?x . 
        ?x dbo:league res:Premier_League . 
        ?uri dbo:birthDate ?y . 
} 
ORDER BY DESC(?y) 
OFFSET 0 LIMIT 1",,0,0,0,0,0,0
118,0.806451612903226,Wie groß ist Claudia Schiffer?,"""wer ist Claudia Schiffer s Frau?""",,0,1,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?height 
WHERE {       
        res:Claudia_Schiffer dbo:height ?height .      
}","""select  ?o    
{
    <http://dbpedia.org/resource/Claudia_Schiffer> <http://dbpedia.org/ontology/spouse>  ?o .    
}""",0,1,1,0,0,0
120,0,Welche Tochtergesellschaft von Lufthansa fliegt sowohl Dortmund als auch Berlin Tegel an?,,,0,0,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?uri 
WHERE {
        res:Lufthansa dbo:subsidiary ?uri .
        ?uri dbo:targetAirport res:Dortmund_Airport .
        ?uri dbo:targetAirport res:Berlin_Tegel_Airport .
}",,0,0,0,0,0,0
122,0,Wer hat den Soundtrack für Camerons Titanic geschrieben?,,,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Titanic_(1997_film)> <http://dbpedia.org/ontology/musicComposer> ?uri . } ,,0,0,1,0,0,0
124,0,Welche Plattenfirma hat Elvis' erstes Album aufgenommen?,,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
        ?x rdf:type dbo:Album .
        ?x dbo:artist res:Elvis_Presley .
        ?x dbo:releaseDate ?y .
        ?x dbo:recordLabel ?uri .
}
ORDER BY ASC(?y) 
OFFSET 0 LIMIT 1",,0,0,1,0,0,0
125,0,In welcher Zeitzone liegt Rom?,,,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rome> <http://dbpedia.org/ontology/timeZone> ?uri . } ,,0,0,1,0,0,0
126,0,Welche Währung benutzt China?,,,0,0,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?uri
WHERE {  
   res:China dbo:currency ?uri . 
}",,0,0,1,0,0,0
132,0,Gib mir eine Liste aller stark bedrohten Vogelarten.,,,0,0,SELECT DISTINCT ?uri ?p WHERE { ?uri a <http://dbpedia.org/ontology/Bird> . { ?uri <http://dbpedia.org/ontology/conservationStatus> 'CR'^^<http://www.w3.org/2001/XMLSchema#string> . } UNION { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Critically_endangered_animals> . } },,0,0,27,0,0,0
133,0,Wieviele Einwohner hat die größte Stadt in Kanada?,,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?num
WHERE {
        res:Canada dbo:largestCity ?city . 
        ?city dbo:populationTotal ?num .
}",,0,0,1,0,0,0
134,0,An welchen militärischen Auseinandersetzungen war Lawrence von Arabien beteiligt?,,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
        res:T._E._Lawrence dbo:battle ?uri . 
}",,0,0,6,0,0,0
135,0,Welches Buch hat die meisten Seiten?,,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        ?uri rdf:type dbo:Book . 
        ?uri dbo:numberOfPages ?n .
}
ORDER BY DESC(?n)
OFFSET 0 LIMIT 1",,0,0,1,0,0,0
137,0,Wer ist der Formel-1-Fahrer mit den meisten Rennen?,,,0,0,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/FormulaOneRacer> .  ?uri <http://dbpedia.org/ontology/races> ?x . } ORDER BY DESC(?x) OFFSET 0 LIMIT 1 ,,0,0,1,0,0,0
140,0.918918918918919,In welcher Stadt ist der Präsident von Montenegro geboren?,"""in welcher Stadt ist President of Montenegro geboren?""",,0,0,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/office> <http://dbpedia.org/resource/President_of_Montenegro> . ?x <http://dbpedia.org/ontology/birthPlace> ?uri . ?uri a <http://dbpedia.org/ontology/City> . } ,"""select  ?o    
{
    <http://dbpedia.org/resource/President_of_Montenegro> <http://dbpedia.org/ontology/birthPlace>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/City> .    
}""",0,0,0,0,0,0
143,0,"Zeig mir das Buch, das Muhammad Ali geschrieben hat.",,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri 
WHERE { 
         ?uri rdf:type dbo:Book . 
         ?uri dbo:author res:Muhammad_Ali . 
}",,0,0,2,0,0,0
146,0,"Gib mir alle Schauspieler, die in Last Action Hero mitgespielt haben.",,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
        res:Last_Action_Hero dbo:starring ?uri . 
}",,0,0,10,0,0,0
148,0,Was war das erste Queen-Album?,,,0,0,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Album> . ?uri <http://dbpedia.org/ontology/artist> <http://dbpedia.org/resource/Queen_(band)> . ?uri <http://dbpedia.org/ontology/releaseDate> ?d . } ORDER BY ASC(?d) OFFSET 0 LIMIT 1,,0,0,1,0,0,0
151,0,Welche Brücke hat die längste Spannweite?,,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
        ?uri rdf:type dbo:Bridge .
        ?uri dbo:mainspan ?s . 
} 
ORDER BY DESC(?s) 
OFFSET 0 LIMIT 1",,0,0,1,0,0,0
152,0,Aus welchem Land kommt Sitecore?,,,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sitecore> <http://dbpedia.org/ontology/foundationPlace> ?uri . },,0,0,0,0,0,0
160,0,Wann hat Boris Becker seine aktive Karriere beendet?,,,0,0,SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Boris_Becker> <http://dbpedia.org/ontology/activeYearsEndDate> ?d . } ,,0,0,1,0,0,0
162,0.793103448275862,Wie groß ist Michael Jordan?,"""wer ist Michael Jordan s Frau?""",,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?num 
WHERE {
        res:Michael_Jordan dbo:height ?num .
}","""select  ?o    
{
    <http://dbpedia.org/resource/Michael_Jordan> <http://dbpedia.org/ontology/spouse>  ?o .    
}""",0,0,1,0,0,0
163,0,Welcher Partei gehört die Bürgermeisterin von Paris an?,,,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> ?x . ?x <http://dbpedia.org/ontology/party> ?uri . },,0,0,1,0,0,0
165,0.787878787878788,Wer war der 16. Präsident der Vereinigten Staaten?,"""was war der Vizepr�sident von Vereinigte Staaten?""",,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
         ?uri dbo:office 'President of the United States' .
         ?uri dbo:orderInOffice '16th' .
}","""select  ?o    
{
    <http://dbpedia.org/resource/United_States> <http://dbpedia.org/ontology/vicePresident>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/Country> .    
}""",0,0,0,0,0,0
166,0.807692307692308,Wie hoch ist der Mount Everest?,"""Wo ist Mount Everest?""",,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?num 
WHERE {
	res:Mount_Everest dbo:elevation ?num.
}","""select  ?o    
{
    <http://dbpedia.org/resource/Mount_Everest> <http://dbpedia.org/ontology/routeStart>  ?o .    
}""",0,0,0,0,0,0
