id,score,qald question,quegg question,qald sparql,quegg sparql,qald answer,quegg answer
13,0.873239436619718,Durch welche Städte fließt die Weser?,"""durch welche St�dte flie�en Weser?""",SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?uri . } ,"select  ?o    
{
    <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/City> .    
}","[[(http://dbpedia.org/resource/Bremen ), (http://dbpedia.org/resource/Bremerhaven ), (http://dbpedia.org/resource/Fulda_(river) ), (http://dbpedia.org/resource/Hamelin ), (http://dbpedia.org/resource/Hann._M%C3%BCnden ), (http://dbpedia.org/resource/Kassel ), (http://dbpedia.org/resource/Minden )]]","[(http://dbpedia.org/resource/Bremen ), (http://dbpedia.org/resource/Bremerhaven ), (http://dbpedia.org/resource/Fulda_(river) ), (http://dbpedia.org/resource/Hamelin ), (http://dbpedia.org/resource/Hann._M%C3%BCnden ), (http://dbpedia.org/resource/Kassel ), (http://dbpedia.org/resource/Minden )]"
14,0,Wieviele Plätze hat das Heimstadium des FC Porto?,,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?x . ?x <http://dbpedia.org/ontology/seatingCapacity> ?n . } ,,"[[(""50035""^^http://www.w3.org/2001/XMLSchema#nonNegativeInteger)]]",[]
15,0.796296296296296,Mit wem ist die Tochter von Robert Kennedy verheiratet?,"""wer hat die Tochter von John F. Kennedy? verheiratet?""",SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?child .  ?child <http://dbpedia.org/ontology/spouse> ?uri . } ,"SELECT DISTINCT ?objOfProp WHERE 
{
    ?subjOfProp <http://dbpedia.org/ontology/spouse> ?objOfProp .   <http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/child> ?subjOfProp .
}",[[(http://dbpedia.org/resource/Andrew_Cuomo )]],[]
16,0.710280373831776,Welche Bücher von Kerouac wurden von Viking Press verlegt?,"""welche Webseite wurde von Viking Press gegr�ndet?""",SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> .  ?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> .  ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . } ,"select  ?s    
{
   ?s <http://dbpedia.org/ontology/author>  <http://dbpedia.org/resource/Viking_Press> .    
}","[[(http://dbpedia.org/resource/Book_of_Haikus ), (http://dbpedia.org/resource/Orpheus_Emerged ), (http://dbpedia.org/resource/Old_Angel_Midnight ), (http://dbpedia.org/resource/Beat_Generation_(play) ), (http://dbpedia.org/resource/The_Subterraneans ), (http://dbpedia.org/resource/Atop_an_Underwood:_Early_Stories_and_Other_Writings ), (http://dbpedia.org/resource/The_Sea_is_My_Brother ), (http://dbpedia.org/resource/Good_Blonde_&_Others ), (http://dbpedia.org/resource/Scattered_Poems ), (http://dbpedia.org/resource/Tristessa ), (http://dbpedia.org/resource/Book_of_Dreams_(novel) ), (http://dbpedia.org/resource/Book_of_Sketches ), (http://dbpedia.org/resource/Lonesome_Traveler ), (http://dbpedia.org/resource/Door_Wide_Open ), (http://dbpedia.org/resource/The_Dharma_Bums ), (http://dbpedia.org/resource/On_the_Road ), (http://dbpedia.org/resource/Desolation_Angels_(novel) ), (http://dbpedia.org/resource/And_the_Hippos_Were_Boiled_in_Their_Tanks ), (http://dbpedia.org/resource/Visions_of_Gerard ), (http://dbpedia.org/resource/Visions_of_Cody ), (http://dbpedia.org/resource/Big_Sur_(novel) ), (http://dbpedia.org/resource/Doctor_Sax ), (http://dbpedia.org/resource/Maggie_Cassidy ), (http://dbpedia.org/resource/Satori_in_Paris ), (http://dbpedia.org/resource/The_Town_and_the_City ), (http://dbpedia.org/resource/Mexico_City_Blues ), (http://dbpedia.org/resource/Pic_(novel) ), (http://dbpedia.org/resource/Vanity_of_Duluoz ), (http://dbpedia.org/resource/References_in_On_the_Road )]]",[]
17,0.76,Wie groß ist Amazon Eve?,"""wer ist Amazon Eve s Sohn?""",SELECT DISTINCT ?height WHERE {  <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height> ?height . } ,"select  ?o    
{
    <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/child>  ?o .    
}","[[(""2.02""^^xsd:double )]]",[]
18,0.9,In welchem Museum ist Der Schrei von Munch ausgestellt?,"""in welchem Museum ist Der Schrei ausgestellt?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
       res:The_Scream dbo:museum ?uri .
}","select  ?o    
{
    <http://dbpedia.org/resource/The_Scream> <http://dbpedia.org/ontology/museum>  ?o .    
}",[[(http://dbpedia.org/resource/National_Gallery_(Norway) )]],[(http://dbpedia.org/resource/National_Gallery_(Norway) )]
19,0.826666666666667,Wer schrieb das Buch Die Säulen der Erde?,"""wer schreiben Die Säulen der Erde?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Pillars_of_the_Earth dbo:author ?uri .
}","select  ?o    
{
    <http://dbpedia.org/resource/The_Pillars_of_the_Earth> <http://dbpedia.org/ontology/author>  ?o .    
}",[[(http://dbpedia.org/resource/Ken_Follett )]],[(http://dbpedia.org/resource/Ken_Follett )]
20,0.774193548387097,Ist James Bond verheiratet?,"""wer ist mit Jane Fonda verheiratet?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:James_Bond dbo:spouse ?uri . 
}","select  ?o    
{
    <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse>  ?o .    
}",[[(false)]],[]
21,0.95,Wer entdeckte Ceres?,"""wer entdecken Ceres?""",SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer> ?uri . },"select  ?o    
{
    <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer>  ?o .    
}",[[(http://dbpedia.org/resource/Giuseppe_Piazzi )]],[(http://dbpedia.org/resource/Giuseppe_Piazzi )]
22,0.888888888888889,Welchen Fluss überspannt die Brooklyn Bridge?,"""in welchen Fluss �berspannen Brooklyn Bridge?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {       
        res:Brooklyn_Bridge dbo:crosses ?uri . 
}","select  ?o    
{
    <http://dbpedia.org/resource/Brooklyn_Bridge> <http://dbpedia.org/ontology/crosses>  ?o .    
}",[[(http://dbpedia.org/resource/East_River )]],[(http://dbpedia.org/resource/East_River )]
23,0.705882352941176,Wer wurde Frank The Tank genannt?,"""was wird von Frank Herbert genannt?""","PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
        ?uri dbp:nickname 'Frank The Tank'@en . 
}","select  ?o    
{
    <http://dbpedia.org/resource/Frank_Herbert> <http://dbpedia.org/property/nickname>  ?o .    
}",[[(http://dbpedia.org/resource/Frank_Young_(basketball) )]],[]
24,0.786885245901639,Was ist das größte Land der Welt?,"""was ist gr��te Land in Welt?""",SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/ontology/areaTotal> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,"SELECT DISTINCT ?subjOfProp WHERE 
{
 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . ?subjOfProp <http://dbpedia.org/ontology/areaTotal> ?num . 
} ORDER BY DESC(?num) LIMIT 1",[[(http://dbpedia.org/resource/Asia)]],[(http://dbpedia.org/resource/Asia)]
25,0.911764705882353,Wer ist Bürgermeister von Paris?,"""wer ist der B�rgermeister von Paris?""",SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> ?uri . },"select  ?o    
{
    <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor>  ?o .    
}",[[(http://dbpedia.org/resource/Anne_Hidalgo )]],[(http://dbpedia.org/resource/Anne_Hidalgo )]
26,0.828828828828829,Wer ist der Trainer von Ankaras Eishockeymannschaft?,"""wer ist der Trainer von Kasachische Eishockeymeisterschaft?""",SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Ankara> . ?x <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> . ?x <http://dbpedia.org/ontology/coach> ?uri . },"select  ?o    
{
    <http://dbpedia.org/resource/Kazakhstan_Hockey_Championship> <http://dbpedia.org/ontology/coach>  ?o .    
}",[[(http://dbpedia.org/resource/%C4%B0brahim_O%C4%9Fuz )]],[]
27,0.936170212765957,Wer ist der Bürgermeister der Hauptstadt von Französisch-Polynesien?,"""wer ist der B�rgermeister von die Hauptstadt von Französisch-Polynesien??""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
        res:French_Polynesia dbo:capital ?x .
        ?x dbo:mayor ?uri .
}","SELECT DISTINCT ?objOfProp WHERE 
{
    ?subjOfProp <http://dbpedia.org/ontology/leaderName> ?objOfProp .   <http://dbpedia.org/resource/French_Polynesia> <http://dbpedia.org/ontology/capital> ?subjOfProp .
}",[[(http://dbpedia.org/resource/Michel_Buillard )]],[]
28,0.947368421052632,Welche Preise hat Douglas Hofstadter gewonnen?,"""welcher Preis hat Douglas R. Hofstadter gewonnen?""","PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Douglas_Hofstadter dbo:award ?uri .
}","select  ?o    
{
    <http://dbpedia.org/resource/Douglas_Hofstadter> <http://dbpedia.org/ontology/award>  ?o .    
}","[[(http://dbpedia.org/resource/American_Academy_of_Arts_and_Sciences ), (http://dbpedia.org/resource/National_Book_Award ), (http://dbpedia.org/resource/Pulitzer_Prize )]]","[(http://dbpedia.org/resource/American_Academy_of_Arts_and_Sciences ), (http://dbpedia.org/resource/National_Book_Award ), (http://dbpedia.org/resource/Pulitzer_Prize )]"
29,0.816901408450704,Wieviel hat der Legofilm gekostet?,"""Wieviel  hat The LEGO Movie gekostet?""",SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget> ?n . } ,"select  ?o    
{
    <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget>  ?o .    
}","[[(""6.0E7""^^http://dbpedia.org/datatype/usDollar )]]","[(""6.0E7""^^http://dbpedia.org/datatype/usDollar )]"
30,0.84,Wo fängt Piccadilly an?,"""was f�ngt in Piccadilly an?""",SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/routeStart> <http://dbpedia.org/resource/Piccadilly>. } ,"select  ?s    
{
   ?s <http://dbpedia.org/ontology/routeStart>  <http://dbpedia.org/resource/Piccadilly> .    
}",[[(http://dbpedia.org/resource/Dover_Street )]],[(http://dbpedia.org/resource/Dover_Street )]
31,0,Haben Prinz Harry und Prinz William dieselben Eltern?,,"PREFIX dbo: <http://dbpedia.org/ontology/> 
ASK
WHERE { 
        <http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge> dbo:parent ?x . 
        <http://dbpedia.org/resource/Prince_Harry> dbo:parent ?x .
}",,[[(true)]],[]
32,0.852941176470588,Wer hat Agent Smith in Matrix gespielt?,"""wer hat Agent Smith gespielt?""","PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Agent_Smith dbp:portrayer ?uri . 
}","select  ?o    
{
    <http://dbpedia.org/resource/Agent_Smith> <http://dbpedia.org/property/portrayer>  ?o .    
}","[[(http://dbpedia.org/resource/Hugo_Weaving ), (http://dbpedia.org/resource/Ian_Bliss )]]","[(http://dbpedia.org/resource/Hugo_Weaving ), (http://dbpedia.org/resource/Ian_Bliss )]"
33,0.811881188118812,Wieviele Sprachen werden in Turkmenistan gesprochen?,"""in welchen Sprachen sind Turkmenistan gesprochen?""",SELECT (COUNT(DISTINCT ?x) as ?c) WHERE {  <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?x . } ,"select  ?o    
{
    <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language>  ?o .    
}",[[(2 )]],"[(http://dbpedia.org/resource/Russian_language ), (http://dbpedia.org/resource/Turkmen_language )]"
34,0,In welchen Filmen spielen sowohl Julia Roberts als auch Richard Gere mit?,,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Gere> . } ,,"[[(http://dbpedia.org/resource/Runaway_Bride_(1999_film) ), (http://dbpedia.org/resource/The_Ant_Bully_(film) ), (http://dbpedia.org/resource/Valentine's_Day_(2010_film) ), (http://dbpedia.org/resource/Fireflies_in_the_Garden ), (http://dbpedia.org/resource/The_Pelican_Brief_(film) ), (http://dbpedia.org/resource/Mystic_Pizza ), (http://dbpedia.org/resource/Mirror_Mirror_(film) ), (http://dbpedia.org/resource/Hook_(film) ), (http://dbpedia.org/resource/I_Love_Trouble_(1994_film) ), (http://dbpedia.org/resource/Steel_Magnolias ), (http://dbpedia.org/resource/Notting_Hill_(film) ), (http://dbpedia.org/resource/Ocean's_Twelve ), (http://dbpedia.org/resource/Full_Frontal_(film) ), (http://dbpedia.org/resource/Pretty_Woman ), (http://dbpedia.org/resource/The_Normal_Heart_(film) ), (http://dbpedia.org/resource/Pr%C3%AAt-%C3%A0-Porter_(film) ), (http://dbpedia.org/resource/August:_Osage_County_(film) ), (http://dbpedia.org/resource/Closer_(2004_film) ), (http://dbpedia.org/resource/Erin_Brockovich_(film) ), (http://dbpedia.org/resource/Dying_Young ), (http://dbpedia.org/resource/Eat_Pray_Love ), (http://dbpedia.org/resource/My_Best_Friend's_Wedding ), (http://dbpedia.org/resource/Charlotte's_Web_(2006_film) ), (http://dbpedia.org/resource/Duplicity_(film) ), (http://dbpedia.org/resource/Stepmom_(film) ), (http://dbpedia.org/resource/Satisfaction_(film) ), (http://dbpedia.org/resource/Flatliners ), (http://dbpedia.org/resource/America's_Sweethearts ), (http://dbpedia.org/resource/Sleeping_with_the_Enemy ), (http://dbpedia.org/resource/Michael_Collins_(film) ), (http://dbpedia.org/resource/Larry_Crowne ), (http://dbpedia.org/resource/Confessions_of_a_Dangerous_Mind ), (http://dbpedia.org/resource/Charlie_Wilson's_War ), (http://dbpedia.org/resource/Something_to_Talk_About_(film) ), (http://dbpedia.org/resource/Mona_Lisa_Smile ), (http://dbpedia.org/resource/Ocean's_Eleven ), (http://dbpedia.org/resource/The_Mexican ), (http://dbpedia.org/resource/Mary_Reilly_(film) ), (http://dbpedia.org/resource/Conspiracy_Theory_(film) )]]",[]
35,0.864864864864865,In welchem Land entspringt der Ganges?,"""in welchen Lagen entspringen Ganges?""","PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
        res:Ganges dbo:sourceCountry ?uri .
}","select  ?o    
{
    <http://dbpedia.org/resource/Ganges> <http://dbpedia.org/property/mouthLocation>  ?o .    
}",[[(http://dbpedia.org/resource/India )]],"[(""Bay of Bengal""@en )]"
36,0.894117647058824,In welchem Jahr wurde Rachel Stevens geboren?,"""am welche  wurde Rachel Stevens geboren?""",SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear> ?uri . } ,"select  ?o    
{
    <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear>  ?o .    
}","[[(""1978""^^xsd:gYear )]]","[(""1978""^^xsd:gYear )]"
37,0.769230769230769,Ist Barack Obama ein Demokrat?,"""wer ist Barack Obama s Doktorvater?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK
WHERE { 
        res:Barack_Obama dbo:party <http://dbpedia.org/resource/Democratic_Party_(United_States)> . 
}","select  ?o    
{
    <http://dbpedia.org/resource/Barack_Obama> <http://dbpedia.org/ontology/doctoralAdvisor>  ?o .    
}",[[(true)]],[]
38,0.909090909090909,Wo wurde Bach geboren?,"""Wo wurde Cher geboren?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
        res:Johann_Sebastian_Bach dbo:birthPlace ?uri .
}","select  ?o    
{
    <http://dbpedia.org/resource/Cher> <http://dbpedia.org/ontology/birthPlace>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/Country> .    
}",[[(http://dbpedia.org/resource/Eisenach )]],[(http://dbpedia.org/resource/El_Centro]
39,0.90625,Wie oft hat Jane Fonda geheiratet?,"""wer hat Jane Fonda geheiratet?""",SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?uri . } ,"select  ?o    
{
    <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse>  ?o .    
}",[[(3 )]],"[(http://dbpedia.org/resource/Roger_Vadim ), (http://dbpedia.org/resource/Ted_Turner ), (http://dbpedia.org/resource/Tom_Hayden )]"
40,0.810126582278481,Wer hat als erstes den Mount Everest bestiegen?,"""wer hat Mount Everest bestiegen?""","PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
          res:Mount_Everest dbo:firstAscentPerson ?uri . 
}","select  ?o    
{
    <http://dbpedia.org/resource/Mount_Everest> <http://dbpedia.org/ontology/firstAscentPerson>  ?o .    
}","[[(http://dbpedia.org/resource/Edmund_Hillary ), (http://dbpedia.org/resource/Krzysztof_Wielicki ), (http://dbpedia.org/resource/Leszek_Cichy ), (http://dbpedia.org/resource/Tenzing_Norgay )]]","[(http://dbpedia.org/resource/Edmund_Hillary ), (http://dbpedia.org/resource/Krzysztof_Wielicki ), (http://dbpedia.org/resource/Leszek_Cichy ), (http://dbpedia.org/resource/Tenzing_Norgay )]"
41,0.953846153846154,Wieviele Menschen leben in Polen?,"""Wieviel  Menschen leben in Polen""",SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?uri . }  ,"select  ?o    
{
    <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal>  ?o .    
}","[[(""38186860""^^xsd:nonNegativeInteger )]]","[(""38186860""^^xsd:nonNegativeInteger )]"
42,0.928571428571429,Wo ist der Westminster-Palast?,"""Wo ist Westminster-Palast?""",SELECT ?uri WHERE {  <http://dbpedia.org/resource/Palace_of_Westminster> <http://dbpedia.org/ontology/location> ?uri . } ,"select  ?o    
{
    <http://dbpedia.org/resource/Palace_of_Westminster> <http://dbpedia.org/ontology/routeStart>  ?o .    
}","[[(http://dbpedia.org/resource/City_of_Westminster ), (http://dbpedia.org/resource/England ), (http://dbpedia.org/resource/Greater_London )]]",[]
43,0,Spielt Christian Bale in Batman Begins mit?,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	res:Batman_Begins dbo:starring res:Christian_Bale .
}",,[[(false)]],[]
44,0.896551724137931,In welchem Land befindet sich der Limerick Lake?,"""in welchem Land befindet Limerick Lake?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
	res:Limerick_Lake dbo:country ?uri .
}","select  ?o    
{
    <http://dbpedia.org/resource/Limerick_Lake> <http://dbpedia.org/ontology/country>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/Country> .    
}",[[(http://dbpedia.org/resource/Canada )]],[(http://dbpedia.org/resource/Canada )]
